Entity,Day,"COVID-19 doses (cumulative, per hundred)","People vaccinated (cumulative, per hundred)","People fully vaccinated (cumulative, per hundred)","Booster doses (cumulative, per hundred)",Year
Brazil,2021-01-17,5.325564e-05,5.325564e-05,0.0,0.0,2021
Brazil,2021-01-18,0.00052732596,0.00052732596,0.0,0.0,2021
Brazil,2021-01-19,0.0064320453,0.0064320453,0.0,0.0,2021
Brazil,2021-01-20,0.050318975,0.050318975,0.0,0.0,2021
Brazil,2021-01-21,0.09210326,0.09210326,0.0,0.0,2021
Brazil,2021-01-22,0.21980743,0.21980743,0.0,0.0,2021
Brazil,2021-01-23,0.2725871,0.2725871,0.0,0.0,2021
Brazil,2021-01-24,0.29193315,0.29193315,0.0,0.0,2021
Brazil,2021-01-25,0.38123384,0.38123384,0.0,0.0,2021
Brazil,2021-01-26,0.4972489,0.4972489,0.0,0.0,2021
Brazil,2021-01-27,0.6312439,0.6312439,0.0,0.0,2021
Brazil,2021-01-28,0.7432481,0.7432481,0.0,0.0,2021
Brazil,2021-01-29,0.9147669,0.9147669,0.0,0.0,2021
Brazil,2021-01-30,0.97311515,0.97311515,0.0,0.0,2021
Brazil,2021-01-31,0.9909919,0.9909919,0.0,0.0,2021
Brazil,2021-02-01,1.0901006,1.0901006,0.0,0.0,2021
Brazil,2021-02-02,1.1990622,1.1990622,0.0,0.0,2021
Brazil,2021-02-03,1.3324058,1.3324058,0.0,0.0,2021
Brazil,2021-02-04,1.462108,1.462108,0.0,0.0,2021
Brazil,2021-02-05,1.6173468,1.6164138,0.00093292474,0.0,2021
Brazil,2021-02-06,1.6897639,1.6804076,0.009356351,0.0,2021
Brazil,2021-02-07,1.7144217,1.7022072,0.012214562,0.0,2021
Brazil,2021-02-08,1.8164963,1.800512,0.0159843,0.0,2021
Brazil,2021-02-09,1.9592047,1.9351184,0.024086291,0.0,2021
Brazil,2021-02-10,2.0954359,2.0570347,0.038401123,0.0,2021
Brazil,2021-02-11,2.2329977,2.1807568,0.05224093,0.0,2021
Brazil,2021-02-12,2.437019,2.352158,0.084860966,0.0,2021
Brazil,2021-02-13,2.4901497,2.3977938,0.09235574,0.0,2021
Brazil,2021-02-14,2.51727,2.413674,0.10359601,0.0,2021
Brazil,2021-02-15,2.6675072,2.5316956,0.13581139,0.0,2021
Brazil,2021-02-16,2.7976038,2.5324993,0.26510468,0.0,2021
Brazil,2021-02-17,2.9512565,2.6071134,0.34414318,0.0,2021
Brazil,2021-02-18,3.1074457,2.6820316,0.42541414,0.0,2021
Brazil,2021-02-19,3.2396395,2.737131,0.50250834,0.0,2021
Brazil,2021-02-20,3.305084,2.7663965,0.53868747,0.0,2021
Brazil,2021-02-21,3.3419607,2.7850227,0.556938,0.0,2021
Brazil,2021-02-22,3.4697292,2.854347,0.61538225,0.0,2021
Brazil,2021-02-23,3.5907977,2.9081774,0.68262035,0.0,2021
Brazil,2021-02-24,3.7083995,2.9490573,0.75934225,0.0,2021
Brazil,2021-02-25,3.8523738,3.0178683,0.83450544,0.0,2021
Brazil,2021-02-26,3.9571044,3.0611703,0.8959339,0.0,2021
Brazil,2021-02-27,4.0101347,3.0995867,0.91054785,0.0,2021
Brazil,2021-02-28,4.025272,3.1107981,0.914474,0.0,2021
Brazil,2021-03-01,4.20388,3.2363706,0.9675095,0.0,2021
Brazil,2021-03-02,4.411337,3.3827884,1.0285486,0.0,2021
Brazil,2021-03-03,4.6311846,3.527165,1.1040199,0.0,2021
Brazil,2021-03-04,4.835403,3.6618702,1.1735327,0.0,2021
Brazil,2021-03-05,5.029112,3.78445,1.2446618,0.0,2021
Brazil,2021-03-06,5.1499577,3.871497,1.2784606,0.0,2021
Brazil,2021-03-07,5.2059336,3.9122312,1.2937022,0.0,2021
Brazil,2021-03-08,5.400452,4.044084,1.356368,0.0,2021
Brazil,2021-03-09,5.5900025,4.167514,1.4224886,0.0,2021
Brazil,2021-03-10,5.7920756,4.285792,1.5062835,0.0,2021
Brazil,2021-03-11,5.997526,4.421412,1.576114,0.0,2021
Brazil,2021-03-12,6.189884,4.5398793,1.6500047,0.0,2021
Brazil,2021-03-13,6.287841,4.598038,1.6898024,0.0,2021
Brazil,2021-03-14,6.317766,4.6209774,1.6967889,0.0,2021
Brazil,2021-03-15,6.5445347,4.7967105,1.7478244,0.0,2021
Brazil,2021-03-16,6.751481,4.9463024,1.8051789,0.0,2021
Brazil,2021-03-17,6.9654055,5.0999284,1.8654771,0.0,2021
Brazil,2021-03-18,7.1741066,5.2569723,1.9171342,0.0,2021
Brazil,2021-03-19,7.4288526,5.472731,1.9561216,0.0,2021
Brazil,2021-03-20,7.552643,5.5822525,1.9703903,0.0,2021
Brazil,2021-03-21,7.5986114,5.6196504,1.9789611,0.0,2021
Brazil,2021-03-22,7.877604,5.8556705,2.0219336,0.0,2021
Brazil,2021-03-23,8.158399,6.0948286,2.06357,0.0,2021
Brazil,2021-03-24,8.505107,6.3889523,2.1161547,0.0,2021
Brazil,2021-03-25,8.870557,6.7059,2.1646569,0.0,2021
Brazil,2021-03-26,9.309175,7.0986295,2.210545,0.0,2021
Brazil,2021-03-27,9.491901,7.266603,2.2252984,0.0,2021
Brazil,2021-03-28,9.61309,7.376845,2.2362444,0.0,2021
Brazil,2021-03-29,10.061875,7.767373,2.2945023,0.0,2021
Brazil,2021-03-30,10.437271,8.081156,2.3561156,0.0,2021
Brazil,2021-03-31,10.860008,8.438039,2.4219692,0.0,2021
Brazil,2021-04-01,11.355247,8.862798,2.492448,0.0,2021
Brazil,2021-04-02,11.498087,8.9872875,2.5107994,0.0,2021
Brazil,2021-04-03,11.685557,9.140162,2.5453951,0.0,2021
Brazil,2021-04-04,11.844943,9.277101,2.567842,0.0,2021
Brazil,2021-04-05,12.20055,9.536705,2.6638453,0.0,2021
Brazil,2021-04-06,12.712884,9.9141655,2.7987185,0.0,2021
Brazil,2021-04-07,13.144671,10.24148,2.9031909,0.0,2021
Brazil,2021-04-08,13.624813,10.578193,3.0466201,0.0,2021
Brazil,2021-04-09,14.048352,10.790594,3.2577584,0.0,2021
Brazil,2021-04-10,14.305161,10.982632,3.32253,0.0,2021
Brazil,2021-04-11,14.434607,11.079501,3.3551054,0.0,2021
Brazil,2021-04-12,14.890858,11.369373,3.5214841,0.0,2021
Brazil,2021-04-13,15.319178,11.636899,3.682279,0.0,2021
Brazil,2021-04-14,15.761952,11.885698,3.8762536,0.0,2021
Brazil,2021-04-15,16.19082,12.1147995,4.0760207,0.0,2021
Brazil,2021-04-16,16.639273,12.2727165,4.3665557,0.0,2021
Brazil,2021-04-17,16.929531,12.403408,4.526124,0.0,2021
Brazil,2021-04-18,17.030937,12.462905,4.5680323,0.0,2021
Brazil,2021-04-19,17.550814,12.699201,4.8516135,0.0,2021
Brazil,2021-04-20,18.025944,12.92594,5.1000037,0.0,2021
Brazil,2021-04-21,18.291294,13.084746,5.2065477,0.0,2021
Brazil,2021-04-22,18.682775,13.260186,5.4225893,0.0,2021
Brazil,2021-04-23,19.53013,13.686655,5.843475,0.0,2021
Brazil,2021-04-24,19.730711,13.780374,5.950337,0.0,2021
Brazil,2021-04-25,19.793388,13.809139,5.984249,0.0,2021
Brazil,2021-04-26,20.345177,14.075631,6.269545,0.0,2021
Brazil,2021-04-27,21.058569,14.396105,6.6624646,0.0,2021
Brazil,2021-04-28,21.577951,14.620896,6.9570556,0.0,2021
Brazil,2021-04-29,22.075504,14.8562765,7.2192273,0.0,2021
Brazil,2021-04-30,22.538143,15.071723,7.466421,0.0,2021
Brazil,2021-05-01,22.663855,15.135482,7.5283723,0.0,2021
Brazil,2021-05-02,22.707642,15.160932,7.546709,0.0,2021
Brazil,2021-05-03,23.129745,15.380092,7.7496533,0.0,2021
Brazil,2021-05-04,23.597069,15.642024,7.955045,0.0,2021
Brazil,2021-05-05,24.048832,15.924576,8.124257,0.0,2021
Brazil,2021-05-06,24.547325,16.295841,8.251484,0.0,2021
Brazil,2021-05-07,25.033867,16.646454,8.387414,0.0,2021
Brazil,2021-05-08,25.188234,16.762873,8.425362,0.0,2021
Brazil,2021-05-09,25.231821,16.793623,8.438197,0.0,2021
Brazil,2021-05-10,25.681042,17.082802,8.598239,0.0,2021
Brazil,2021-05-11,26.110928,17.36681,8.744116,0.0,2021
Brazil,2021-05-12,26.583677,17.70464,8.879038,0.0,2021
Brazil,2021-05-13,26.905493,17.958797,8.946696,0.0,2021
Brazil,2021-05-14,27.252453,18.22128,9.031175,0.0,2021
Brazil,2021-05-15,27.421257,18.340212,9.081045,0.0,2021
Brazil,2021-05-16,27.54804,18.426792,9.121249,0.0,2021
Brazil,2021-05-17,27.91862,18.679546,9.239072,0.0,2021
Brazil,2021-05-18,28.341333,18.968481,9.372851,0.0,2021
Brazil,2021-05-19,28.702572,19.227013,9.475558,0.0,2021
Brazil,2021-05-20,29.146727,19.53803,9.608696,0.0,2021
Brazil,2021-05-21,29.539137,19.80874,9.730397,0.0,2021
Brazil,2021-05-22,29.699379,19.914762,9.784617,0.0,2021
Brazil,2021-05-23,30.088877,20.196507,9.89237,0.0,2021
Brazil,2021-05-24,30.478779,20.450197,10.028582,0.0,2021
Brazil,2021-05-25,30.86858,20.696442,10.172137,0.0,2021
Brazil,2021-05-26,31.225132,20.943336,10.2817955,0.0,2021
Brazil,2021-05-27,31.555635,21.174234,10.3814,0.0,2021
Brazil,2021-05-28,32.02913,21.532585,10.496542,0.0,2021
Brazil,2021-05-29,32.220592,21.68488,10.535715,0.0,2021
Brazil,2021-05-30,32.27422,21.723053,10.551166,0.0,2021
Brazil,2021-05-31,32.650295,22.028896,10.6214,0.0,2021
Brazil,2021-06-01,33.03652,22.316315,10.720203,0.0,2021
Brazil,2021-06-02,33.610664,22.753485,10.857181,0.0,2021
Brazil,2021-06-03,33.877003,22.976702,10.900302,0.0,2021
Brazil,2021-06-04,34.2176,23.282177,10.935423,0.0,2021
Brazil,2021-06-05,34.514862,23.533009,10.9818535,0.0,2021
Brazil,2021-06-06,34.62164,23.625298,10.996343,0.0,2021
Brazil,2021-06-07,35.003258,23.956053,11.047205,0.0,2021
Brazil,2021-06-08,35.624275,24.4893,11.1349745,0.0,2021
Brazil,2021-06-09,36.193447,24.995686,11.1977625,0.0,2021
Brazil,2021-06-10,36.728848,25.475988,11.252858,0.0,2021
Brazil,2021-06-11,37.313145,26.002893,11.310251,0.0,2021
Brazil,2021-06-12,37.620472,26.291332,11.329139,0.0,2021
Brazil,2021-06-13,37.78593,26.445835,11.340094,0.0,2021
Brazil,2021-06-14,38.314266,26.940403,11.373863,0.0,2021
Brazil,2021-06-15,38.962536,27.536203,11.426332,0.0,2021
Brazil,2021-06-16,39.55253,28.086874,11.465655,0.0,2021
Brazil,2021-06-17,40.626972,29.094368,11.532605,0.0,2021
Brazil,2021-06-18,41.444527,29.854475,11.59005,0.0,2021
Brazil,2021-06-19,41.89527,30.269724,11.625547,0.0,2021
Brazil,2021-06-20,42.114857,30.47903,11.635827,0.0,2021
Brazil,2021-06-21,42.801052,31.107868,11.693185,0.0,2021
Brazil,2021-06-22,43.470055,31.710226,11.759829,0.0,2021
Brazil,2021-06-23,44.11766,32.28191,11.835751,0.0,2021
Brazil,2021-06-24,44.849895,32.86326,11.986636,0.0,2021
Brazil,2021-06-25,45.535507,33.46052,12.079641,0.0,2021
Brazil,2021-06-26,45.90696,33.803238,12.135045,0.0,2021
Brazil,2021-06-27,46.023216,33.91197,12.157803,0.0,2021
Brazil,2021-06-28,46.56525,34.39022,12.299613,0.0,2021
Brazil,2021-06-29,47.468216,35.15997,12.528748,0.0,2021
Brazil,2021-06-30,48.104805,35.70851,12.668412,0.0,2021
Brazil,2021-07-01,48.767776,36.2732,12.814259,0.0,2021
Brazil,2021-07-02,49.474285,36.89206,12.961789,0.0,2021
Brazil,2021-07-03,49.80996,37.188725,13.037233,0.0,2021
Brazil,2021-07-04,49.973473,37.33255,13.071042,0.0,2021
Brazil,2021-07-05,50.733902,37.961506,13.244813,0.0,2021
Brazil,2021-07-06,51.471462,38.587986,13.465016,0.0,2021
Brazil,2021-07-07,52.293297,39.299618,13.755857,0.0,2021
Brazil,2021-07-08,53.05273,39.917385,14.049522,0.0,2021
Brazil,2021-07-09,53.730827,40.4963,14.285916,0.0,2021
Brazil,2021-07-10,54.173088,40.85579,14.44921,0.0,2021
Brazil,2021-07-11,54.37312,41.02218,14.524056,0.0,2021
Brazil,2021-07-12,54.99323,41.49403,14.741964,0.0,2021
Brazil,2021-07-13,55.706547,42.027126,15.011198,0.0,2021
Brazil,2021-07-14,56.4363,42.5329,15.320047,0.0,2021
Brazil,2021-07-15,57.133476,43.148335,15.61173,0.0,2021
Brazil,2021-07-16,57.844772,43.621834,15.913605,0.0,2021
Brazil,2021-07-17,58.30337,43.95214,16.080418,0.0,2021
Brazil,2021-07-18,58.419315,44.045555,16.115177,0.0,2021
Brazil,2021-07-19,59.167873,44.595303,16.349348,0.0,2021
Brazil,2021-07-20,60.062805,45.220623,16.667953,0.0,2021
Brazil,2021-07-21,60.958397,45.79253,17.026627,0.0,2021
Brazil,2021-07-22,61.877056,46.327023,17.439713,0.0,2021
Brazil,2021-07-23,62.698486,46.937687,17.6703,0.0,2021
Brazil,2021-07-24,63.15177,47.260464,17.813942,0.0,2021
Brazil,2021-07-25,63.307236,47.364506,17.870789,0.0,2021
Brazil,2021-07-26,63.973442,47.79828,18.121452,0.0,2021
Brazil,2021-07-27,64.74287,48.276264,18.430925,0.0,2021
Brazil,2021-07-28,65.592384,48.75523,18.831285,0.0,2021
Brazil,2021-07-29,66.324,49.14895,19.191378,0.0,2021
Brazil,2021-07-30,67.19703,49.678764,19.55095,0.0,2021
Brazil,2021-07-31,67.66411,49.966908,19.736906,0.0,2021
Brazil,2021-08-01,67.80521,50.06632,19.78034,0.0,2021
Brazil,2021-08-02,68.358734,50.371624,20.041113,0.0,2021
Brazil,2021-08-03,69.24117,50.943752,20.362429,0.0,2021
Brazil,2021-08-04,70.39944,51.666756,20.812355,0.0,2021
Brazil,2021-08-05,71.21183,52.183704,21.118837,0.0,2021
Brazil,2021-08-06,72.04071,52.70494,21.438633,0.0,2021
Brazil,2021-08-07,72.42443,52.943104,21.58629,0.0,2021
Brazil,2021-08-08,72.59886,53.049618,21.655546,0.0,2021
Brazil,2021-08-09,73.31731,53.482273,21.949154,0.0,2021
Brazil,2021-08-10,74.36724,54.149998,22.338852,0.0,2021
Brazil,2021-08-11,75.329575,54.801727,22.654942,0.0,2021
Brazil,2021-08-12,76.40009,55.52884,23.006046,0.0,2021
Brazil,2021-08-13,77.42614,56.191845,23.37744,0.0,2021
Brazil,2021-08-14,78.08382,56.64698,23.587729,0.0,2021
Brazil,2021-08-15,78.30492,56.824078,23.635002,0.0,2021
Brazil,2021-08-16,79.289246,57.386066,24.060577,0.0,2021
Brazil,2021-08-17,80.71701,58.268307,24.617056,0.0,2021
Brazil,2021-08-18,81.66237,58.808914,25.025324,0.0,2021
Brazil,2021-08-19,82.86156,59.513615,25.524994,0.0,2021
Brazil,2021-08-20,83.866646,60.095257,25.951992,0.0,2021
Brazil,2021-08-21,84.44229,60.468094,26.15854,0.0,2021
Brazil,2021-08-22,84.720795,60.673836,26.233612,0.0,2021
Brazil,2021-08-23,85.70909,61.27217,26.627716,0.0,2021
Brazil,2021-08-24,86.85175,61.94197,27.10434,0.0,2021
Brazil,2021-08-25,87.82786,62.522842,27.502234,0.0,2021
Brazil,2021-08-26,88.491356,62.72665,27.964796,0.0,2021
Brazil,2021-08-27,89.414986,63.212505,28.409376,0.0,2021
Brazil,2021-08-28,90.04769,63.53053,28.726114,0.0,2021
Brazil,2021-08-29,90.33074,63.69153,28.849552,0.0,2021
Brazil,2021-08-30,91.0652,64.0861,29.187912,0.0,2021
Brazil,2021-08-31,92.330246,64.727974,29.813059,0.0,2021
Brazil,2021-09-01,93.27653,65.1751,30.315,0.0,2021
Brazil,2021-09-02,94.21607,65.569916,30.862429,0.00013409009,2021
Brazil,2021-09-03,95.136345,65.929085,31.427296,0.0001773603,2021
Brazil,2021-09-04,95.63482,66.11281,31.74361,0.0002553418,2021
Brazil,2021-09-05,95.823105,66.19428,31.851013,0.00037088752,2021
Brazil,2021-09-06,96.53758,66.56267,32.192223,0.0066850097,2021
Brazil,2021-09-07,96.8003,66.67359,32.34369,0.008180923,2021
Brazil,2021-09-08,97.617615,66.95978,32.872673,0.012099491,2021
Brazil,2021-09-09,98.67025,67.31406,33.56748,0.017686103,2021
Brazil,2021-09-10,99.81522,67.702324,34.318066,0.024816653,2021
Brazil,2021-09-11,100.436066,67.90003,34.73532,0.03214168,2021
Brazil,2021-09-12,100.667816,67.98842,34.880127,0.032614324,2021
Brazil,2021-09-13,101.37769,68.202286,35.367947,0.042259302,2021
Brazil,2021-09-14,102.39256,68.519295,36.049442,0.06123971,2021
Brazil,2021-09-15,103.29694,68.83364,36.60888,0.093796976,2021
Brazil,2021-09-16,104.00827,69.06026,37.083405,0.1060762,2021
Brazil,2021-09-17,105.118835,69.42266,37.822403,0.11857226,2021
Brazil,2021-09-18,105.63491,69.59903,38.158833,0.12317555,2021
Brazil,2021-09-19,105.836876,69.685585,38.273808,0.12394347,2021
Brazil,2021-09-20,106.4074,69.861565,38.63432,0.15882544,2021
Brazil,2021-09-21,107.26869,70.12298,39.213017,0.18142533,2021
Brazil,2021-09-22,108.08259,70.357796,39.772617,0.20337568,2021
Brazil,2021-09-23,108.936485,70.61642,40.355305,0.21812703,2021
