Entity,Day,Weekly deaths,Year
Brazil,2020-01-09,0,2020
Brazil,2020-01-10,0,2020
Brazil,2020-01-11,0,2020
Brazil,2020-01-12,0,2020
Brazil,2020-01-13,0,2020
Brazil,2020-01-14,0,2020
Brazil,2020-01-15,0,2020
Brazil,2020-01-16,0,2020
Brazil,2020-01-17,0,2020
Brazil,2020-01-18,0,2020
Brazil,2020-01-19,0,2020
Brazil,2020-01-20,0,2020
Brazil,2020-01-21,0,2020
Brazil,2020-01-22,0,2020
Brazil,2020-01-23,0,2020
Brazil,2020-01-24,0,2020
Brazil,2020-01-25,0,2020
Brazil,2020-01-26,0,2020
Brazil,2020-01-27,0,2020
Brazil,2020-01-28,0,2020
Brazil,2020-01-29,0,2020
Brazil,2020-01-30,0,2020
Brazil,2020-01-31,0,2020
Brazil,2020-02-01,0,2020
Brazil,2020-02-02,0,2020
Brazil,2020-02-03,0,2020
Brazil,2020-02-04,0,2020
Brazil,2020-02-05,0,2020
Brazil,2020-02-06,0,2020
Brazil,2020-02-07,0,2020
Brazil,2020-02-08,0,2020
Brazil,2020-02-09,0,2020
Brazil,2020-02-10,0,2020
Brazil,2020-02-11,0,2020
Brazil,2020-02-12,0,2020
Brazil,2020-02-13,0,2020
Brazil,2020-02-14,0,2020
Brazil,2020-02-15,0,2020
Brazil,2020-02-16,0,2020
Brazil,2020-02-17,0,2020
Brazil,2020-02-18,0,2020
Brazil,2020-02-19,0,2020
Brazil,2020-02-20,0,2020
Brazil,2020-02-21,0,2020
Brazil,2020-02-22,0,2020
Brazil,2020-02-23,0,2020
Brazil,2020-02-24,0,2020
Brazil,2020-02-25,0,2020
Brazil,2020-02-26,0,2020
Brazil,2020-02-27,0,2020
Brazil,2020-02-28,0,2020
Brazil,2020-02-29,0,2020
Brazil,2020-03-01,0,2020
Brazil,2020-03-02,0,2020
Brazil,2020-03-03,0,2020
Brazil,2020-03-04,0,2020
Brazil,2020-03-05,0,2020
Brazil,2020-03-06,0,2020
Brazil,2020-03-07,0,2020
Brazil,2020-03-08,0,2020
Brazil,2020-03-09,0,2020
Brazil,2020-03-10,0,2020
Brazil,2020-03-11,0,2020
Brazil,2020-03-12,0,2020
Brazil,2020-03-13,0,2020
Brazil,2020-03-14,0,2020
Brazil,2020-03-15,0,2020
Brazil,2020-03-16,0,2020
Brazil,2020-03-17,0,2020
Brazil,2020-03-18,0,2020
Brazil,2020-03-19,1,2020
Brazil,2020-03-20,4,2020
Brazil,2020-03-21,4,2020
Brazil,2020-03-22,11,2020
Brazil,2020-03-23,11,2020
Brazil,2020-03-24,25,2020
Brazil,2020-03-25,34,2020
Brazil,2020-03-26,45,2020
Brazil,2020-03-27,53,2020
Brazil,2020-03-28,73,2020
Brazil,2020-03-29,81,2020
Brazil,2020-03-30,103,2020
Brazil,2020-03-31,111,2020
Brazil,2020-04-01,125,2020
Brazil,2020-04-02,155,2020
Brazil,2020-04-03,184,2020
Brazil,2020-04-04,222,2020
Brazil,2020-04-05,267,2020
Brazil,2020-04-06,318,2020
Brazil,2020-04-07,350,2020
Brazil,2020-04-08,394,2020
Brazil,2020-04-09,466,2020
Brazil,2020-04-10,559,2020
Brazil,2020-04-11,642,2020
Brazil,2020-04-12,697,2020
Brazil,2020-04-13,692,2020
Brazil,2020-04-14,737,2020
Brazil,2020-04-15,775,2020
Brazil,2020-04-16,865,2020
Brazil,2020-04-17,936,2020
Brazil,2020-04-18,983,2020
Brazil,2020-04-19,1085,2020
Brazil,2020-04-20,1223,2020
Brazil,2020-04-21,1239,2020
Brazil,2020-04-22,1247,2020
Brazil,2020-04-23,1209,2020
Brazil,2020-04-24,1170,2020
Brazil,2020-04-25,1389,2020
Brazil,2020-04-26,1529,2020
Brazil,2020-04-27,1669,2020
Brazil,2020-04-28,1743,2020
Brazil,2020-04-29,1968,2020
Brazil,2020-04-30,2276,2020
Brazil,2020-05-01,2560,2020
Brazil,2020-05-02,2588,2020
Brazil,2020-05-03,2659,2020
Brazil,2020-05-04,2734,2020
Brazil,2020-05-05,2820,2020
Brazil,2020-05-06,2778,2020
Brazil,2020-05-07,2904,2020
Brazil,2020-05-08,3070,2020
Brazil,2020-05-09,3245,2020
Brazil,2020-05-10,3568,2020
Brazil,2020-05-11,3877,2020
Brazil,2020-05-12,4098,2020
Brazil,2020-05-13,4198,2020
Brazil,2020-05-14,4479,2020
Brazil,2020-05-15,4613,2020
Brazil,2020-05-16,4847,2020
Brazil,2020-05-17,4920,2020
Brazil,2020-05-18,5006,2020
Brazil,2020-05-19,4995,2020
Brazil,2020-05-20,5273,2020
Brazil,2020-05-21,5571,2020
Brazil,2020-05-22,5710,2020
Brazil,2020-05-23,6054,2020
Brazil,2020-05-24,6231,2020
Brazil,2020-05-25,6380,2020
Brazil,2020-05-26,6548,2020
Brazil,2020-05-27,6681,2020
Brazil,2020-05-28,6541,2020
Brazil,2020-05-29,6739,2020
Brazil,2020-05-30,6707,2020
Brazil,2020-05-31,6830,2020
Brazil,2020-06-01,6821,2020
Brazil,2020-06-02,6648,2020
Brazil,2020-06-03,6464,2020
