Entity,Day,Weekly cases,Year
Brazil,2020-01-09,0,2020
Brazil,2020-01-10,0,2020
Brazil,2020-01-11,0,2020
Brazil,2020-01-12,0,2020
Brazil,2020-01-13,0,2020
Brazil,2020-01-14,0,2020
Brazil,2020-01-15,0,2020
Brazil,2020-01-16,0,2020
Brazil,2020-01-17,0,2020
Brazil,2020-01-18,0,2020
Brazil,2020-01-19,0,2020
Brazil,2020-01-20,0,2020
Brazil,2020-01-21,0,2020
Brazil,2020-01-22,0,2020
Brazil,2020-01-23,0,2020
Brazil,2020-01-24,0,2020
Brazil,2020-01-25,0,2020
Brazil,2020-01-26,0,2020
Brazil,2020-01-27,0,2020
Brazil,2020-01-28,0,2020
Brazil,2020-01-29,0,2020
Brazil,2020-01-30,0,2020
Brazil,2020-01-31,0,2020
Brazil,2020-02-01,0,2020
Brazil,2020-02-02,0,2020
Brazil,2020-02-03,0,2020
Brazil,2020-02-04,0,2020
Brazil,2020-02-05,0,2020
Brazil,2020-02-06,0,2020
Brazil,2020-02-07,0,2020
Brazil,2020-02-08,0,2020
Brazil,2020-02-09,0,2020
Brazil,2020-02-10,0,2020
Brazil,2020-02-11,0,2020
Brazil,2020-02-12,0,2020
Brazil,2020-02-13,0,2020
Brazil,2020-02-14,0,2020
Brazil,2020-02-15,0,2020
Brazil,2020-02-16,0,2020
Brazil,2020-02-17,0,2020
Brazil,2020-02-18,0,2020
Brazil,2020-02-19,0,2020
Brazil,2020-02-20,0,2020
Brazil,2020-02-21,0,2020
Brazil,2020-02-22,0,2020
Brazil,2020-02-23,0,2020
Brazil,2020-02-24,0,2020
Brazil,2020-02-25,0,2020
Brazil,2020-02-26,0,2020
Brazil,2020-02-27,1,2020
Brazil,2020-02-28,1,2020
Brazil,2020-02-29,1,2020
Brazil,2020-03-01,1,2020
Brazil,2020-03-02,2,2020
Brazil,2020-03-03,2,2020
Brazil,2020-03-04,2,2020
Brazil,2020-03-05,1,2020
Brazil,2020-03-06,2,2020
Brazil,2020-03-07,7,2020
Brazil,2020-03-08,12,2020
Brazil,2020-03-09,17,2020
Brazil,2020-03-10,23,2020
Brazil,2020-03-11,23,2020
Brazil,2020-03-12,32,2020
Brazil,2020-03-13,57,2020
Brazil,2020-03-14,69,2020
Brazil,2020-03-15,71,2020
Brazil,2020-03-16,102,2020
Brazil,2020-03-17,175,2020
Brazil,2020-03-18,209,2020
Brazil,2020-03-19,257,2020
Brazil,2020-03-20,368,2020
Brazil,2020-03-21,351,2020
Brazil,2020-03-22,820,2020
Brazil,2020-03-23,783,2020
Brazil,2020-03-24,1346,2020
Brazil,2020-03-25,1657,2020
Brazil,2020-03-26,1910,2020
Brazil,2020-03-27,2005,2020
Brazil,2020-03-28,2487,2020
Brazil,2020-03-29,2513,2020
Brazil,2020-03-30,2999,2020
Brazil,2020-03-31,2710,2020
Brazil,2020-04-01,2688,2020
Brazil,2020-04-02,3516,2020
Brazil,2020-04-03,4403,2020
Brazil,2020-04-04,4995,2020
Brazil,2020-04-05,5639,2020
Brazil,2020-04-06,6375,2020
Brazil,2020-04-07,6874,2020
Brazil,2020-04-08,7477,2020
Brazil,2020-04-09,8000,2020
Brazil,2020-04-10,9091,2020
Brazil,2020-04-11,9947,2020
Brazil,2020-04-12,10582,2020
Brazil,2020-04-13,10449,2020
Brazil,2020-04-14,11039,2020
Brazil,2020-04-15,11374,2020
Brazil,2020-04-16,11545,2020
Brazil,2020-04-17,12393,2020
Brazil,2020-04-18,12568,2020
Brazil,2020-04-19,14044,2020
Brazil,2020-04-20,15872,2020
Brazil,2020-04-21,16485,2020
Brazil,2020-04-22,17151,2020
Brazil,2020-04-23,17817,2020
Brazil,2020-04-24,17437,2020
Brazil,2020-04-25,19067,2020
Brazil,2020-04-26,19313,2020
Brazil,2020-04-27,21910,2020
Brazil,2020-04-28,23234,2020
Brazil,2020-04-29,25920,2020
Brazil,2020-04-30,28807,2020
Brazil,2020-05-01,32405,2020
Brazil,2020-05-02,35888,2020
Brazil,2020-05-03,38594,2020
Brazil,2020-05-04,38050,2020
Brazil,2020-05-05,39259,2020
Brazil,2020-05-06,41279,2020
Brazil,2020-05-07,42829,2020
Brazil,2020-05-08,47056,2020
Brazil,2020-05-09,49726,2020
Brazil,2020-05-10,53739,2020
Brazil,2020-05-11,59380,2020
Brazil,2020-05-12,61552,2020
Brazil,2020-05-13,60551,2020
Brazil,2020-05-14,62874,2020
Brazil,2020-05-15,63756,2020
Brazil,2020-05-16,67812,2020
Brazil,2020-05-17,72895,2020
Brazil,2020-05-18,77203,2020
Brazil,2020-05-19,78381,2020
Brazil,2020-05-20,85889,2020
Brazil,2020-05-21,94039,2020
Brazil,2020-05-22,102605,2020
Brazil,2020-05-23,107169,2020
Brazil,2020-05-24,112667,2020
Brazil,2020-05-25,114256,2020
Brazil,2020-05-26,122131,2020
Brazil,2020-05-27,120678,2020
Brazil,2020-05-28,119594,2020
Brazil,2020-05-29,120242,2020
Brazil,2020-05-30,128151,2020
Brazil,2020-05-31,134276,2020
Brazil,2020-06-01,151042,2020
Brazil,2020-06-02,151638,2020
