Entity,Day,Case fatality rate of COVID-19 (%),Year
Brazil,2020-07-31,3.53153,2020
Brazil,2020-08-01,3.49653,2020
Brazil,2020-08-02,3.473259,2020
Brazil,2020-08-03,3.455216,2020
Brazil,2020-08-04,3.4423964,2020
Brazil,2020-08-05,3.4419656,2020
Brazil,2020-08-06,3.419761,2020
Brazil,2020-08-07,3.401662,2020
Brazil,2020-08-08,3.3820684,2020
Brazil,2020-08-09,3.361146,2020
Brazil,2020-08-10,3.3354335,2020
Brazil,2020-08-11,3.3289936,2020
Brazil,2020-08-12,3.3279803,2020
Brazil,2020-08-13,3.3131273,2020
Brazil,2020-08-14,3.2925143,2020
Brazil,2020-08-15,3.2702963,2020
Brazil,2020-08-16,3.2520943,2020
Brazil,2020-08-17,3.2327073,2020
Brazil,2020-08-18,3.2289114,2020
Brazil,2020-08-19,3.2306516,2020
Brazil,2020-08-20,3.2250245,2020
Brazil,2020-08-21,3.2140927,2020
Brazil,2020-08-22,3.206876,2020
Brazil,2020-08-23,3.2091565,2020
Brazil,2020-08-24,3.1892366,2020
Brazil,2020-08-25,3.1822214,2020
Brazil,2020-08-26,3.182816,2020
Brazil,2020-08-27,3.1765711,2020
Brazil,2020-08-28,3.1654577,2020
Brazil,2020-08-29,3.1543915,2020
Brazil,2020-08-30,3.1408722,2020
Brazil,2020-08-31,3.1320126,2020
Brazil,2020-09-01,3.128386,2020
Brazil,2020-09-02,3.105746,2020
Brazil,2020-09-03,3.1029649,2020
Brazil,2020-09-04,3.0961525,2020
Brazil,2020-09-05,3.0832548,2020
Brazil,2020-09-06,3.0668495,2020
Brazil,2020-09-07,3.0609508,2020
Brazil,2020-09-08,3.0610116,2020
Brazil,2020-09-09,3.0609043,2020
Brazil,2020-09-10,3.0625124,2020
Brazil,2020-09-11,3.0619915,2020
Brazil,2020-09-12,3.0558841,2020
Brazil,2020-09-13,3.045096,2020
Brazil,2020-09-14,3.040304,2020
Brazil,2020-09-15,3.0395188,2020
Brazil,2020-09-16,3.0376863,2020
Brazil,2020-09-17,3.037677,2020
Brazil,2020-09-18,3.034702,2020
Brazil,2020-09-19,3.0285816,2020
Brazil,2020-09-20,3.020856,2020
Brazil,2020-09-21,3.015123,2020
Brazil,2020-09-22,3.012237,2020
Brazil,2020-09-23,3.011627,2020
Brazil,2020-09-24,3.0078378,2020
Brazil,2020-09-25,3.0049827,2020
Brazil,2020-09-26,3.001652,2020
Brazil,2020-09-27,2.9967718,2020
Brazil,2020-09-28,2.9971654,2020
Brazil,2020-09-29,2.9951763,2020
Brazil,2020-09-30,2.9935534,2020
Brazil,2020-10-01,2.99153,2020
Brazil,2020-10-02,2.9921834,2020
Brazil,2020-10-03,2.9848826,2020
Brazil,2020-10-04,2.978943,2020
Brazil,2020-10-05,2.9751778,2020
Brazil,2020-10-06,2.9774852,2020
Brazil,2020-10-07,2.9768217,2020
Brazil,2020-10-08,2.968199,2020
Brazil,2020-10-09,2.9641485,2020
Brazil,2020-10-10,2.9622881,2020
Brazil,2020-10-11,2.9596977,2020
Brazil,2020-10-12,2.9551196,2020
Brazil,2020-10-13,2.953653,2020
Brazil,2020-10-14,2.9527133,2020
Brazil,2020-10-15,2.9528546,2020
Brazil,2020-10-16,2.9517806,2020
Brazil,2020-10-17,2.9492865,2020
Brazil,2020-10-18,2.946253,2020
Brazil,2020-10-19,2.9415076,2020
Brazil,2020-10-20,2.9397304,2020
Brazil,2020-10-21,2.936279,2020
Brazil,2020-10-22,2.9358807,2020
Brazil,2020-10-23,2.9328115,2020
Brazil,2020-10-24,2.928453,2020
Brazil,2020-10-25,2.9226942,2020
Brazil,2020-10-26,2.9160686,2020
Brazil,2020-10-27,2.9130566,2020
Brazil,2020-10-28,2.90945,2020
Brazil,2020-10-29,2.9036107,2020
Brazil,2020-10-30,2.8977356,2020
Brazil,2020-10-31,2.8933039,2020
Brazil,2020-11-01,2.8908262,2020
Brazil,2020-11-02,2.8882842,2020
Brazil,2020-11-03,2.88645,2020
Brazil,2020-11-04,2.8852549,2020
Brazil,2020-11-05,2.8834817,2020
Brazil,2020-11-06,2.8820264,2020
Brazil,2020-11-07,2.8818035,2020
Brazil,2020-11-08,2.8771052,2020
Brazil,2020-11-09,2.8702087,2020
Brazil,2020-11-10,2.8671205,2020
Brazil,2020-11-11,2.8656754,2020
Brazil,2020-11-12,2.856627,2020
Brazil,2020-11-13,2.8420727,2020
Brazil,2020-11-14,2.841454,2020
Brazil,2020-11-15,2.8350863,2020
Brazil,2020-11-16,2.8322647,2020
Brazil,2020-11-17,2.8278248,2020
Brazil,2020-11-18,2.8250663,2020
Brazil,2020-11-19,2.8197873,2020
Brazil,2020-11-20,2.8163345,2020
Brazil,2020-11-21,2.8095543,2020
Brazil,2020-11-22,2.8008041,2020
Brazil,2020-11-23,2.791921,2020
Brazil,2020-11-24,2.7865562,2020
Brazil,2020-11-25,2.7840984,2020
Brazil,2020-11-26,2.7802439,2020
Brazil,2020-11-27,2.7692542,2020
Brazil,2020-11-28,2.7636027,2020
Brazil,2020-11-29,2.7567225,2020
Brazil,2020-11-30,2.7432995,2020
Brazil,2020-12-01,2.7369773,2020
Brazil,2020-12-02,2.7323759,2020
Brazil,2020-12-03,2.7215092,2020
Brazil,2020-12-04,2.7112706,2020
Brazil,2020-12-05,2.7018304,2020
Brazil,2020-12-06,2.693065,2020
Brazil,2020-12-07,2.6854682,2020
Brazil,2020-12-08,2.679487,2020
Brazil,2020-12-09,2.676923,2020
Brazil,2020-12-10,2.669049,2020
Brazil,2020-12-11,2.6602702,2020
Brazil,2020-12-12,2.650698,2020
Brazil,2020-12-13,2.6394238,2020
Brazil,2020-12-14,2.632553,2020
Brazil,2020-12-15,2.6282709,2020
Brazil,2020-12-16,2.624963,2020
Brazil,2020-12-17,2.6226413,2020
Brazil,2020-12-18,2.6096468,2020
Brazil,2020-12-19,2.5993772,2020
Brazil,2020-12-20,2.591799,2020
Brazil,2020-12-21,2.5835574,2020
Brazil,2020-12-22,2.5801122,2020
Brazil,2020-12-23,2.5784805,2020
Brazil,2020-12-24,2.5722585,2020
Brazil,2020-12-25,2.568998,2020
Brazil,2020-12-26,2.558799,2020
Brazil,2020-12-27,2.5573802,2020
Brazil,2020-12-28,2.5555847,2020
Brazil,2020-12-29,2.5538712,2020
Brazil,2020-12-30,2.5526218,2020
Brazil,2020-12-31,2.547494,2020
Brazil,2021-01-01,2.5445585,2021
Brazil,2021-01-02,2.53973,2021
Brazil,2021-01-03,2.5376148,2021
Brazil,2021-01-04,2.536479,2021
Brazil,2021-01-05,2.5345802,2021
Brazil,2021-01-06,2.5350437,2021
Brazil,2021-01-07,2.53165,2021
Brazil,2021-01-08,2.5270295,2021
Brazil,2021-01-09,2.5182898,2021
Brazil,2021-01-10,2.5139422,2021
Brazil,2021-01-11,2.509052,2021
Brazil,2021-01-12,2.5056164,2021
Brazil,2021-01-13,2.5035627,2021
Brazil,2021-01-14,2.4975483,2021
Brazil,2021-01-15,2.4945571,2021
Brazil,2021-01-16,2.4878385,2021
Brazil,2021-01-17,2.4810412,2021
Brazil,2021-01-18,2.4753938,2021
Brazil,2021-01-19,2.4722497,2021
Brazil,2021-01-20,2.4706848,2021
Brazil,2021-01-21,2.466694,2021
Brazil,2021-01-22,2.4638212,2021
Brazil,2021-01-23,2.4622047,2021
Brazil,2021-01-24,2.4588184,2021
Brazil,2021-01-25,2.4550676,2021
Brazil,2021-01-26,2.4538991,2021
Brazil,2021-01-27,2.4535494,2021
Brazil,2021-01-28,2.4501207,2021
Brazil,2021-01-29,2.4470828,2021
Brazil,2021-01-30,2.4456856,2021
Brazil,2021-01-31,2.4419112,2021
Brazil,2021-02-01,2.4402921,2021
Brazil,2021-02-02,2.4390066,2021
Brazil,2021-02-03,2.4389548,2021
Brazil,2021-02-04,2.4377768,2021
Brazil,2021-02-05,2.436586,2021
Brazil,2021-02-06,2.4349496,2021
Brazil,2021-02-07,2.4349527,2021
Brazil,2021-02-08,2.4322698,2021
Brazil,2021-02-09,2.430895,2021
Brazil,2021-02-10,2.4315886,2021
Brazil,2021-02-11,2.4326103,2021
Brazil,2021-02-12,2.431369,2021
Brazil,2021-02-13,2.431575,2021
Brazil,2021-02-14,2.4319296,2021
Brazil,2021-02-15,2.4315798,2021
Brazil,2021-02-16,2.4327083,2021
Brazil,2021-02-17,2.4301212,2021
Brazil,2021-02-18,2.4283457,2021
Brazil,2021-02-19,2.4260561,2021
Brazil,2021-02-20,2.4271367,2021
Brazil,2021-02-21,2.4278204,2021
Brazil,2021-02-22,2.4260125,2021
Brazil,2021-02-23,2.4242702,2021
Brazil,2021-02-24,2.424121,2021
Brazil,2021-02-25,2.4228117,2021
Brazil,2021-02-26,2.421017,2021
Brazil,2021-02-27,2.42047,2021
Brazil,2021-02-28,2.418171,2021
Brazil,2021-03-01,2.4171855,2021
Brazil,2021-03-02,2.4162235,2021
