Entity,Day,Total confirmed cases of COVID-19 per million people,Year
Brazil,2020-01-04,0.0,2020
Brazil,2020-01-05,0.0,2020
Brazil,2020-01-06,0.0,2020
Brazil,2020-01-07,0.0,2020
Brazil,2020-01-08,0.0,2020
Brazil,2020-01-09,0.0,2020
Brazil,2020-01-10,0.0,2020
Brazil,2020-01-11,0.0,2020
Brazil,2020-01-12,0.0,2020
Brazil,2020-01-13,0.0,2020
Brazil,2020-01-14,0.0,2020
Brazil,2020-01-15,0.0,2020
Brazil,2020-01-16,0.0,2020
Brazil,2020-01-17,0.0,2020
Brazil,2020-01-18,0.0,2020
Brazil,2020-01-19,0.0,2020
Brazil,2020-01-20,0.0,2020
Brazil,2020-01-21,0.0,2020
Brazil,2020-01-22,0.0,2020
Brazil,2020-01-23,0.0,2020
Brazil,2020-01-24,0.0,2020
Brazil,2020-01-25,0.0,2020
Brazil,2020-01-26,0.0,2020
Brazil,2020-01-27,0.0,2020
Brazil,2020-01-28,0.0,2020
Brazil,2020-01-29,0.0,2020
Brazil,2020-01-30,0.0,2020
Brazil,2020-01-31,0.0,2020
Brazil,2020-02-01,0.0,2020
Brazil,2020-02-02,0.0,2020
Brazil,2020-02-03,0.0,2020
Brazil,2020-02-04,0.0,2020
Brazil,2020-02-05,0.0,2020
Brazil,2020-02-06,0.0,2020
Brazil,2020-02-07,0.0,2020
Brazil,2020-02-08,0.0,2020
Brazil,2020-02-09,0.0,2020
Brazil,2020-02-10,0.0,2020
Brazil,2020-02-11,0.0,2020
Brazil,2020-02-12,0.0,2020
Brazil,2020-02-13,0.0,2020
Brazil,2020-02-14,0.0,2020
Brazil,2020-02-15,0.0,2020
Brazil,2020-02-16,0.0,2020
Brazil,2020-02-17,0.0,2020
Brazil,2020-02-18,0.0,2020
Brazil,2020-02-19,0.0,2020
Brazil,2020-02-20,0.0,2020
Brazil,2020-02-21,0.0,2020
Brazil,2020-02-22,0.0,2020
Brazil,2020-02-23,0.0,2020
Brazil,2020-02-24,0.0,2020
Brazil,2020-02-25,0.0,2020
Brazil,2020-02-26,0.0,2020
Brazil,2020-02-27,0.004754968,2020
Brazil,2020-02-28,0.004754968,2020
Brazil,2020-02-29,0.004754968,2020
Brazil,2020-03-01,0.004754968,2020
Brazil,2020-03-02,0.009509936,2020
Brazil,2020-03-03,0.009509936,2020
Brazil,2020-03-04,0.009509936,2020
Brazil,2020-03-05,0.009509936,2020
Brazil,2020-03-06,0.014264904,2020
Brazil,2020-03-07,0.038039744,2020
Brazil,2020-03-08,0.061814584,2020
Brazil,2020-03-09,0.09034439,2020
Brazil,2020-03-10,0.1188742,2020
Brazil,2020-03-11,0.1188742,2020
Brazil,2020-03-12,0.16166891,2020
Brazil,2020-03-13,0.28529808,2020
Brazil,2020-03-14,0.36613253,2020
Brazil,2020-03-15,0.3994173,2020
Brazil,2020-03-16,0.5753511,2020
Brazil,2020-03-17,0.9509936,2020
Brazil,2020-03-18,1.1126626,2020
Brazil,2020-03-19,1.3836957,2020
Brazil,2020-03-20,2.0351262,2020
Brazil,2020-03-21,2.0351262,2020
Brazil,2020-03-22,4.298491,2020
Brazil,2020-03-23,4.298491,2020
Brazil,2020-03-24,7.3511806,2020
Brazil,2020-03-25,8.991645,2020
Brazil,2020-03-26,10.465685,2020
Brazil,2020-03-27,11.568837,2020
Brazil,2020-03-28,13.860732,2020
Brazil,2020-03-29,16.247726,2020
Brazil,2020-03-30,18.55864,2020
Brazil,2020-03-31,20.237144,2020
Brazil,2020-04-01,21.772999,2020
Brazil,2020-04-02,27.184153,2020
Brazil,2020-04-03,32.504963,2020
Brazil,2020-04-04,37.611797,2020
Brazil,2020-04-05,43.06099,2020
Brazil,2020-04-06,48.87156,2020
Brazil,2020-04-07,52.922794,2020
Brazil,2020-04-08,57.325893,2020
Brazil,2020-04-09,65.22389,2020
Brazil,2020-04-10,75.732376,2020
Brazil,2020-04-11,84.90946,2020
Brazil,2020-04-12,93.37806,2020
Brazil,2020-04-13,98.55622,2020
Brazil,2020-04-14,105.41289,2020
Brazil,2020-04-15,111.4089,2020
Brazil,2020-04-16,120.12,2020
Brazil,2020-04-17,134.66069,2020
Brazil,2020-04-18,144.6699,2020
Brazil,2020-04-19,160.15683,2020
Brazil,2020-04-20,174.02707,2020
Brazil,2020-04-21,183.79854,2020
Brazil,2020-04-22,192.96135,2020
Brazil,2020-04-23,204.83926,2020
Brazil,2020-04-24,217.57307,2020
Brazil,2020-04-25,235.33287,2020
Brazil,2020-04-26,251.98953,2020
Brazil,2020-04-27,278.20844,2020
Brazil,2020-04-28,294.27545,2020
Brazil,2020-04-29,316.2101,2020
Brazil,2020-04-30,341.81564,2020
Brazil,2020-05-01,371.6578,2020
Brazil,2020-05-02,405.97916,2020
