Entity,Day,Case fatality rate of COVID-19 (%),Year
Brazil,2022-06-17,2.1153293,2022
Brazil,2022-06-18,2.113605,2022
Brazil,2022-06-19,2.111919,2022
Brazil,2022-06-20,2.1108744,2022
Brazil,2022-06-21,2.110336,2022
Brazil,2022-06-22,2.1072974,2022
Brazil,2022-06-23,2.1037545,2022
Brazil,2022-06-24,2.09945,2022
Brazil,2022-06-25,2.0958595,2022
Brazil,2022-06-26,2.0929503,2022
Brazil,2022-06-27,2.090855,2022
Brazil,2022-06-28,2.08988,2022
Brazil,2022-06-29,2.0869138,2022
Brazil,2022-06-30,2.0829291,2022
Brazil,2022-07-01,2.0788884,2022
Brazil,2022-07-02,2.0749602,2022
Brazil,2022-07-03,2.0709708,2022
Brazil,2022-07-04,2.0690477,2022
Brazil,2022-07-05,2.068028,2022
Brazil,2022-07-06,2.0655107,2022
Brazil,2022-07-07,2.0620005,2022
Brazil,2022-07-08,2.0582373,2022
Brazil,2022-07-09,2.0545743,2022
Brazil,2022-07-10,2.050934,2022
Brazil,2022-07-11,2.0488646,2022
Brazil,2022-07-12,2.0488646,2022
Brazil,2022-07-13,2.0453784,2022
Brazil,2022-07-14,2.0424514,2022
Brazil,2022-07-15,2.0391405,2022
Brazil,2022-07-16,2.036014,2022
Brazil,2022-07-17,2.0303388,2022
Brazil,2022-07-18,2.0285058,2022
Brazil,2022-07-19,2.02801,2022
Brazil,2022-07-20,2.02616,2022
Brazil,2022-07-21,2.0236983,2022
Brazil,2022-07-22,2.021316,2022
Brazil,2022-07-23,2.019016,2022
Brazil,2022-07-24,2.019016,2022
Brazil,2022-07-25,2.0157716,2022
Brazil,2022-07-26,2.0152922,2022
Brazil,2022-07-27,2.01399,2022
Brazil,2022-07-28,2.0127642,2022
Brazil,2022-07-29,2.0110257,2022
Brazil,2022-07-30,2.0091538,2022
Brazil,2022-07-31,2.0073957,2022
Brazil,2022-08-01,2.0065484,2022
Brazil,2022-08-02,2.0054264,2022
Brazil,2022-08-03,2.0047133,2022
Brazil,2022-08-04,2.003545,2022
Brazil,2022-08-05,2.0023398,2022
Brazil,2022-08-06,2.0007246,2022
Brazil,2022-08-07,1.9996135,2022
Brazil,2022-08-08,1.9991636,2022
Brazil,2022-08-09,1.9989082,2022
Brazil,2022-08-10,1.9983852,2022
Brazil,2022-08-11,1.9976839,2022
Brazil,2022-08-12,1.9966193,2022
Brazil,2022-08-13,1.9956466,2022
Brazil,2022-08-14,1.9949936,2022
Brazil,2022-08-15,1.9943887,2022
Brazil,2022-08-16,1.9942385,2022
Brazil,2022-08-17,1.9941255,2022
Brazil,2022-08-18,1.9933845,2022
Brazil,2022-08-19,1.992829,2022
Brazil,2022-08-20,1.9921407,2022
Brazil,2022-08-21,1.9914583,2022
Brazil,2022-08-22,1.9909751,2022
Brazil,2022-08-23,1.9908173,2022
Brazil,2022-08-24,1.9908121,2022
Brazil,2022-08-25,1.9902292,2022
Brazil,2022-08-26,1.9897581,2022
Brazil,2022-08-27,1.9889965,2022
Brazil,2022-08-28,1.9884163,2022
Brazil,2022-08-29,1.9879181,2022
Brazil,2022-08-30,1.9877826,2022
Brazil,2022-08-31,1.9874347,2022
Brazil,2022-09-01,1.9871296,2022
Brazil,2022-09-02,1.9865464,2022
Brazil,2022-09-03,1.98622,2022
Brazil,2022-09-04,1.9858925,2022
Brazil,2022-09-05,1.985484,2022
Brazil,2022-09-06,1.9851329,2022
Brazil,2022-09-07,1.9851329,2022
Brazil,2022-09-08,1.9848115,2022
Brazil,2022-09-09,1.9844652,2022
Brazil,2022-09-10,1.9844697,2022
Brazil,2022-09-11,1.9840026,2022
Brazil,2022-09-12,1.9835777,2022
Brazil,2022-09-13,1.9835777,2022
Brazil,2022-09-14,1.9832596,2022
Brazil,2022-09-15,1.9829624,2022
Brazil,2022-09-16,1.9824733,2022
Brazil,2022-09-17,1.982141,2022
Brazil,2022-09-18,1.9818338,2022
Brazil,2022-09-19,1.9817615,2022
Brazil,2022-09-20,1.9815973,2022
Brazil,2022-09-21,1.9814624,2022
Brazil,2022-09-22,1.9812219,2022
Brazil,2022-09-23,1.9810594,2022
Brazil,2022-09-24,1.980772,2022
Brazil,2022-09-25,1.9805382,2022
Brazil,2022-09-26,1.980255,2022
Brazil,2022-09-27,1.9802513,2022
Brazil,2022-09-28,1.9799911,2022
Brazil,2022-09-29,1.9796501,2022
Brazil,2022-09-30,1.979348,2022
Brazil,2022-10-01,1.9789503,2022
Brazil,2022-10-02,1.9786156,2022
Brazil,2022-10-03,1.9789028,2022
Brazil,2022-10-04,1.9790348,2022
Brazil,2022-10-05,1.9788967,2022
Brazil,2022-10-06,1.9787445,2022
Brazil,2022-10-07,1.9786526,2022
Brazil,2022-10-08,1.9785674,2022
Brazil,2022-10-09,1.9783963,2022
Brazil,2022-10-10,1.9782871,2022
Brazil,2022-10-11,1.9782856,2022
Brazil,2022-10-12,1.9780937,2022
Brazil,2022-10-13,1.9779227,2022
Brazil,2022-10-14,1.9778129,2022
Brazil,2022-10-15,1.9777538,2022
Brazil,2022-10-16,1.9775941,2022
Brazil,2022-10-17,1.9774939,2022
Brazil,2022-10-18,1.977478,2022
Brazil,2022-10-19,1.9774165,2022
Brazil,2022-10-20,1.977184,2022
Brazil,2022-10-21,1.9771553,2022
Brazil,2022-10-22,1.9768745,2022
Brazil,2022-10-23,1.9767519,2022
Brazil,2022-10-24,1.9767783,2022
Brazil,2022-10-25,1.9767083,2022
Brazil,2022-10-26,1.9764317,2022
Brazil,2022-10-27,1.9762166,2022
Brazil,2022-10-28,1.9763424,2022
Brazil,2022-10-29,1.976036,2022
Brazil,2022-10-30,1.9759793,2022
Brazil,2022-10-31,1.9759064,2022
Brazil,2022-11-01,1.975864,2022
Brazil,2022-11-02,1.9758303,2022
Brazil,2022-11-03,1.9755384,2022
Brazil,2022-11-04,1.9754337,2022
Brazil,2022-11-05,1.9751505,2022
Brazil,2022-11-06,1.9751807,2022
Brazil,2022-11-07,1.9751352,2022
Brazil,2022-11-08,1.9750915,2022
Brazil,2022-11-09,1.9749973,2022
Brazil,2022-11-10,1.9745439,2022
Brazil,2022-11-11,1.9742408,2022
Brazil,2022-11-12,1.9736755,2022
Brazil,2022-11-13,1.972763,2022
Brazil,2022-11-14,1.9725517,2022
Brazil,2022-11-15,1.9725013,2022
Brazil,2022-11-16,1.9721456,2022
Brazil,2022-11-17,1.9720514,2022
Brazil,2022-11-18,1.9713852,2022
Brazil,2022-11-19,1.9697297,2022
Brazil,2022-11-20,1.9683341,2022
Brazil,2022-11-21,1.9679375,2022
Brazil,2022-11-22,1.9677173,2022
Brazil,2022-11-23,1.9666996,2022
Brazil,2022-11-24,1.9660847,2022
Brazil,2022-11-25,1.9647435,2022
Brazil,2022-11-26,1.963673,2022
Brazil,2022-11-27,1.961456,2022
Brazil,2022-11-28,1.961456,2022
Brazil,2022-11-29,1.9605182,2022
Brazil,2022-11-30,1.9595445,2022
Brazil,2022-12-01,1.9574614,2022
Brazil,2022-12-02,1.9559857,2022
Brazil,2022-12-03,1.9544001,2022
Brazil,2022-12-04,1.9528068,2022
Brazil,2022-12-05,1.9515679,2022
Brazil,2022-12-06,1.9512057,2022
Brazil,2022-12-07,1.9500092,2022
Brazil,2022-12-08,1.9474418,2022
Brazil,2022-12-09,1.9454089,2022
Brazil,2022-12-10,1.9438324,2022
Brazil,2022-12-11,1.9438324,2022
Brazil,2022-12-12,1.9418955,2022
Brazil,2022-12-13,1.9415452,2022
Brazil,2022-12-14,1.9386698,2022
Brazil,2022-12-15,1.9386698,2022
Brazil,2022-12-16,1.9340467,2022
Brazil,2022-12-17,1.9314584,2022
Brazil,2022-12-18,1.9286846,2022
Brazil,2022-12-19,1.9276186,2022
Brazil,2022-12-20,1.9271445,2022
Brazil,2022-12-21,1.9252741,2022
Brazil,2022-12-22,1.922906,2022
Brazil,2022-12-23,1.9211313,2022
Brazil,2022-12-24,1.919084,2022
Brazil,2022-12-25,1.9176629,2022
Brazil,2022-12-26,1.9176629,2022
Brazil,2022-12-27,1.9176629,2022
Brazil,2022-12-28,1.9147874,2022
Brazil,2022-12-29,1.9135249,2022
Brazil,2022-12-30,1.9124979,2022
Brazil,2022-12-31,1.9109858,2022
Brazil,2023-01-01,1.909795,2023
Brazil,2023-01-02,1.909795,2023
Brazil,2023-01-03,1.909795,2023
Brazil,2023-01-04,1.9085144,2023
Brazil,2023-01-05,1.9076228,2023
Brazil,2023-01-06,1.9065106,2023
Brazil,2023-01-07,1.9054966,2023
Brazil,2023-01-08,1.9046931,2023
Brazil,2023-01-09,1.904184,2023
Brazil,2023-01-10,1.9041272,2023
Brazil,2023-01-11,1.9032937,2023
Brazil,2023-01-12,1.9013373,2023
Brazil,2023-01-13,1.9002448,2023
Brazil,2023-01-14,1.899659,2023
Brazil,2023-01-15,1.899659,2023
Brazil,2023-01-16,1.8985486,2023
Brazil,2023-01-17,1.8983868,2023
Brazil,2023-01-18,1.8979123,2023
