Entity,Day,Weekly cases,Year
Brazil,2022-12-10,229579,2022
Brazil,2022-12-11,194170,2022
Brazil,2022-12-12,208988,2022
Brazil,2022-12-13,208433,2022
Brazil,2022-12-14,247579,2022
Brazil,2022-12-15,191671,2022
Brazil,2022-12-16,253630,2022
Brazil,2022-12-17,278116,2022
Brazil,2022-12-18,337810,2022
Brazil,2022-12-19,321349,2022
Brazil,2022-12-20,324440,2022
Brazil,2022-12-21,301293,2022
Brazil,2022-12-22,357990,2022
Brazil,2022-12-23,293030,2022
Brazil,2022-12-24,283013,2022
Brazil,2022-12-25,254811,2022
Brazil,2022-12-26,232227,2022
Brazil,2022-12-27,222359,2022
Brazil,2022-12-28,245326,2022
Brazil,2022-12-29,224527,2022
Brazil,2022-12-30,220280,2022
Brazil,2022-12-31,209570,2022
Brazil,2023-01-01,206944,2023
Brazil,2023-01-02,206944,2023
Brazil,2023-01-03,206944,2023
Brazil,2023-01-04,171977,2023
Brazil,2023-01-05,164136,2023
Brazil,2023-01-06,158417,2023
Brazil,2023-01-07,148397,2023
Brazil,2023-01-08,145933,2023
Brazil,2023-01-09,157105,2023
Brazil,2023-01-10,158769,2023
Brazil,2023-01-11,148920,2023
Brazil,2023-01-12,162009,2023
Brazil,2023-01-13,155727,2023
Brazil,2023-01-14,147123,2023
Brazil,2023-01-15,120721,2023
Brazil,2023-01-16,136328,2023
Brazil,2023-01-17,138049,2023
Brazil,2023-01-18,129501,2023
Brazil,2023-01-19,112615,2023
Brazil,2023-01-20,98979,2023
Brazil,2023-01-21,100940,2023
Brazil,2023-01-22,114916,2023
Brazil,2023-01-23,92787,2023
Brazil,2023-01-24,89954,2023
Brazil,2023-01-25,90126,2023
Brazil,2023-01-26,86363,2023
Brazil,2023-01-27,90833,2023
Brazil,2023-01-28,81252,2023
Brazil,2023-01-29,78416,2023
Brazil,2023-01-30,76277,2023
Brazil,2023-01-31,76208,2023
Brazil,2023-02-01,76901,2023
Brazil,2023-02-02,73170,2023
Brazil,2023-02-03,69266,2023
Brazil,2023-02-04,77789,2023
Brazil,2023-02-05,75391,2023
Brazil,2023-02-06,74441,2023
Brazil,2023-02-07,74685,2023
Brazil,2023-02-08,70960,2023
Brazil,2023-02-09,63411,2023
Brazil,2023-02-10,69947,2023
Brazil,2023-02-11,59707,2023
Brazil,2023-02-12,63681,2023
Brazil,2023-02-13,64313,2023
Brazil,2023-02-14,63884,2023
Brazil,2023-02-15,74718,2023
Brazil,2023-02-16,65501,2023
Brazil,2023-02-17,52998,2023
Brazil,2023-02-18,52890,2023
Brazil,2023-02-19,57343,2023
Brazil,2023-02-20,56841,2023
Brazil,2023-02-21,57027,2023
