Entity,Day,Weekly deaths,Year
Brazil,2022-06-17,1046,2022
Brazil,2022-06-18,1054,2022
Brazil,2022-06-19,956,2022
Brazil,2022-06-20,936,2022
Brazil,2022-06-21,955,2022
Brazil,2022-06-22,981,2022
Brazil,2022-06-23,1036,2022
Brazil,2022-06-24,837,2022
Brazil,2022-06-25,1051,2022
Brazil,2022-06-26,1313,2022
Brazil,2022-06-27,1359,2022
Brazil,2022-06-28,1340,2022
Brazil,2022-06-29,1371,2022
Brazil,2022-06-30,1458,2022
Brazil,2022-07-01,1595,2022
Brazil,2022-07-02,1521,2022
Brazil,2022-07-03,1471,2022
Brazil,2022-07-04,1489,2022
Brazil,2022-07-05,1506,2022
Brazil,2022-07-06,1501,2022
Brazil,2022-07-07,1581,2022
Brazil,2022-07-08,1665,2022
Brazil,2022-07-09,1657,2022
Brazil,2022-07-10,1639,2022
Brazil,2022-07-11,1696,2022
Brazil,2022-07-12,1643,2022
Brazil,2022-07-13,1725,2022
Brazil,2022-07-14,1673,2022
Brazil,2022-07-15,1692,2022
Brazil,2022-07-16,1706,2022
Brazil,2022-07-17,1751,2022
Brazil,2022-07-18,1741,2022
Brazil,2022-07-19,1796,2022
Brazil,2022-07-20,1760,2022
Brazil,2022-07-21,1769,2022
Brazil,2022-07-22,1735,2022
Brazil,2022-07-23,1707,2022
Brazil,2022-07-24,1396,2022
Brazil,2022-07-25,1632,2022
Brazil,2022-07-26,1614,2022
Brazil,2022-07-27,1625,2022
Brazil,2022-07-28,1623,2022
Brazil,2022-07-29,1587,2022
Brazil,2022-07-30,1583,2022
Brazil,2022-07-31,1827,2022
Brazil,2022-08-01,1559,2022
Brazil,2022-08-02,1550,2022
Brazil,2022-08-03,1572,2022
Brazil,2022-08-04,1516,2022
Brazil,2022-08-05,1471,2022
Brazil,2022-08-06,1467,2022
Brazil,2022-08-07,1445,2022
Brazil,2022-08-08,1453,2022
Brazil,2022-08-09,1482,2022
Brazil,2022-08-10,1451,2022
Brazil,2022-08-11,1521,2022
Brazil,2022-08-12,1511,2022
Brazil,2022-08-13,1470,2022
Brazil,2022-08-14,1495,2022
Brazil,2022-08-15,1461,2022
Brazil,2022-08-16,1441,2022
Brazil,2022-08-17,1391,2022
Brazil,2022-08-18,1232,2022
Brazil,2022-08-19,1224,2022
Brazil,2022-08-20,1210,2022
Brazil,2022-08-21,1105,2022
Brazil,2022-08-22,1102,2022
Brazil,2022-08-23,1112,2022
Brazil,2022-08-24,1114,2022
Brazil,2022-08-25,1111,2022
Brazil,2022-08-26,1066,2022
Brazil,2022-08-27,1017,2022
Brazil,2022-08-28,1039,2022
Brazil,2022-08-29,970,2022
Brazil,2022-08-30,945,2022
Brazil,2022-08-31,951,2022
Brazil,2022-09-01,977,2022
Brazil,2022-09-02,889,2022
Brazil,2022-09-03,914,2022
Brazil,2022-09-04,865,2022
Brazil,2022-09-05,882,2022
Brazil,2022-09-06,931,2022
Brazil,2022-09-07,803,2022
Brazil,2022-09-08,729,2022
Brazil,2022-09-09,672,2022
Brazil,2022-09-10,575,2022
Brazil,2022-09-11,551,2022
Brazil,2022-09-12,499,2022
Brazil,2022-09-13,428,2022
Brazil,2022-09-14,473,2022
Brazil,2022-09-15,422,2022
Brazil,2022-09-16,484,2022
Brazil,2022-09-17,481,2022
Brazil,2022-09-18,487,2022
Brazil,2022-09-19,481,2022
Brazil,2022-09-20,523,2022
Brazil,2022-09-21,530,2022
Brazil,2022-09-22,516,2022
Brazil,2022-09-23,483,2022
Brazil,2022-09-24,474,2022
Brazil,2022-09-25,450,2022
Brazil,2022-09-26,448,2022
Brazil,2022-09-27,429,2022
Brazil,2022-09-28,407,2022
Brazil,2022-09-29,363,2022
Brazil,2022-09-30,323,2022
Brazil,2022-10-01,301,2022
Brazil,2022-10-02,286,2022
Brazil,2022-10-03,472,2022
Brazil,2022-10-04,515,2022
Brazil,2022-10-05,536,2022
Brazil,2022-10-06,583,2022
Brazil,2022-10-07,646,2022
Brazil,2022-10-08,728,2022
Brazil,2022-10-09,767,2022
Brazil,2022-10-10,588,2022
Brazil,2022-10-11,531,2022
Brazil,2022-10-12,506,2022
Brazil,2022-10-13,499,2022
Brazil,2022-10-14,453,2022
Brazil,2022-10-15,363,2022
Brazil,2022-10-16,341,2022
Brazil,2022-10-17,311,2022
Brazil,2022-10-18,304,2022
Brazil,2022-10-19,366,2022
Brazil,2022-10-20,363,2022
Brazil,2022-10-21,457,2022
Brazil,2022-10-22,414,2022
Brazil,2022-10-23,383,2022
Brazil,2022-10-24,413,2022
Brazil,2022-10-25,419,2022
Brazil,2022-10-26,423,2022
Brazil,2022-10-27,384,2022
Brazil,2022-10-28,424,2022
Brazil,2022-10-29,479,2022
Brazil,2022-10-30,553,2022
Brazil,2022-10-31,525,2022
Brazil,2022-11-01,518,2022
Brazil,2022-11-02,491,2022
Brazil,2022-11-03,509,2022
Brazil,2022-11-04,321,2022
Brazil,2022-11-05,305,2022
Brazil,2022-11-06,252,2022
Brazil,2022-11-07,251,2022
Brazil,2022-11-08,256,2022
Brazil,2022-11-09,238,2022
Brazil,2022-11-10,268,2022
Brazil,2022-11-11,339,2022
Brazil,2022-11-12,340,2022
Brazil,2022-11-13,324,2022
Brazil,2022-11-14,314,2022
Brazil,2022-11-15,310,2022
Brazil,2022-11-16,299,2022
Brazil,2022-11-17,215,2022
Brazil,2022-11-18,197,2022
Brazil,2022-11-19,228,2022
Brazil,2022-11-20,251,2022
Brazil,2022-11-21,264,2022
Brazil,2022-11-22,270,2022
Brazil,2022-11-23,345,2022
Brazil,2022-11-24,453,2022
Brazil,2022-11-25,508,2022
Brazil,2022-11-26,506,2022
Brazil,2022-11-27,535,2022
Brazil,2022-11-28,522,2022
Brazil,2022-11-29,551,2022
Brazil,2022-11-30,497,2022
Brazil,2022-12-01,510,2022
Brazil,2022-12-02,529,2022
Brazil,2022-12-03,604,2022
Brazil,2022-12-04,632,2022
Brazil,2022-12-05,667,2022
Brazil,2022-12-06,645,2022
Brazil,2022-12-07,693,2022
Brazil,2022-12-08,744,2022
Brazil,2022-12-09,776,2022
Brazil,2022-12-10,732,2022
Brazil,2022-12-11,603,2022
Brazil,2022-12-12,638,2022
Brazil,2022-12-13,630,2022
Brazil,2022-12-14,786,2022
Brazil,2022-12-15,606,2022
Brazil,2022-12-16,872,2022
Brazil,2022-12-17,975,2022
Brazil,2022-12-18,1133,2022
Brazil,2022-12-19,1116,2022
Brazil,2022-12-20,1129,2022
Brazil,2022-12-21,1026,2022
Brazil,2022-12-22,1265,2022
Brazil,2022-12-23,1012,2022
Brazil,2022-12-24,1000,2022
Brazil,2022-12-25,933,2022
Brazil,2022-12-26,880,2022
Brazil,2022-12-27,860,2022
Brazil,2022-12-28,928,2022
Brazil,2022-12-29,919,2022
Brazil,2022-12-30,1101,2022
Brazil,2022-12-31,1082,2022
Brazil,2023-01-01,1110,2023
Brazil,2023-01-02,1110,2023
Brazil,2023-01-03,1110,2023
Brazil,2023-01-04,1012,2023
Brazil,2023-01-05,993,2023
Brazil,2023-01-06,849,2023
Brazil,2023-01-07,835,2023
Brazil,2023-01-08,926,2023
Brazil,2023-01-09,953,2023
Brazil,2023-01-10,964,2023
Brazil,2023-01-11,936,2023
Brazil,2023-01-12,793,2023
Brazil,2023-01-13,677,2023
Brazil,2023-01-14,667,2023
Brazil,2023-01-15,457,2023
Brazil,2023-01-16,532,2023
Brazil,2023-01-17,526,2023
Brazil,2023-01-18,493,2023
Brazil,2023-01-19,539,2023
Brazil,2023-01-20,527,2023
Brazil,2023-01-21,851,2023
Brazil,2023-01-22,952,2023
Brazil,2023-01-23,916,2023
Brazil,2023-01-24,914,2023
Brazil,2023-01-25,932,2023
Brazil,2023-01-26,961,2023
Brazil,2023-01-27,988,2023
Brazil,2023-01-28,609,2023
Brazil,2023-01-29,554,2023
Brazil,2023-01-30,503,2023
Brazil,2023-01-31,502,2023
Brazil,2023-02-01,550,2023
Brazil,2023-02-02,589,2023
Brazil,2023-02-03,597,2023
Brazil,2023-02-04,552,2023
Brazil,2023-02-05,603,2023
Brazil,2023-02-06,603,2023
Brazil,2023-02-07,602,2023
Brazil,2023-02-08,547,2023
Brazil,2023-02-09,459,2023
Brazil,2023-02-10,383,2023
Brazil,2023-02-11,372,2023
Brazil,2023-02-12,317,2023
Brazil,2023-02-13,314,2023
Brazil,2023-02-14,313,2023
Brazil,2023-02-15,323,2023
Brazil,2023-02-16,229,2023
Brazil,2023-02-17,311,2023
Brazil,2023-02-18,394,2023
Brazil,2023-02-19,385,2023
Brazil,2023-02-20,382,2023
Brazil,2023-02-21,382,2023
Brazil,2023-02-22,296,2023
Brazil,2023-02-23,307,2023
Brazil,2023-02-24,487,2023
Brazil,2023-02-25,820,2023
Brazil,2023-02-26,881,2023
Brazil,2023-02-27,890,2023
Brazil,2023-02-28,891,2023
Brazil,2023-03-01,948,2023
Brazil,2023-03-02,1018,2023
Brazil,2023-03-03,816,2023
Brazil,2023-03-04,409,2023
Brazil,2023-03-05,348,2023
Brazil,2023-03-06,364,2023
Brazil,2023-03-07,363,2023
Brazil,2023-03-08,304,2023
Brazil,2023-03-09,223,2023
Brazil,2023-03-10,113,2023
Brazil,2023-03-11,67,2023
Brazil,2023-03-12,34,2023
Brazil,2023-03-13,324,2023
Brazil,2023-03-14,324,2023
Brazil,2023-03-15,324,2023
Brazil,2023-03-16,324,2023
Brazil,2023-03-17,324,2023
Brazil,2023-03-18,324,2023
Brazil,2023-03-19,324,2023
Brazil,2023-03-20,283,2023
Brazil,2023-03-21,283,2023
Brazil,2023-03-22,283,2023
Brazil,2023-03-23,283,2023
Brazil,2023-03-24,283,2023
Brazil,2023-03-25,283,2023
Brazil,2023-03-26,283,2023
Brazil,2023-03-27,0,2023
Brazil,2023-03-28,0,2023
Brazil,2023-03-29,0,2023
Brazil,2023-03-30,322,2023
Brazil,2023-03-31,322,2023
Brazil,2023-04-01,322,2023
Brazil,2023-04-02,322,2023
Brazil,2023-04-03,322,2023
Brazil,2023-04-04,322,2023
Brazil,2023-04-05,322,2023
Brazil,2023-04-06,0,2023
Brazil,2023-04-07,0,2023
Brazil,2023-04-08,0,2023
Brazil,2023-04-09,317,2023
Brazil,2023-04-10,317,2023
Brazil,2023-04-11,317,2023
Brazil,2023-04-12,317,2023
Brazil,2023-04-13,317,2023
Brazil,2023-04-14,317,2023
Brazil,2023-04-15,317,2023
Brazil,2023-04-16,255,2023
Brazil,2023-04-17,255,2023
Brazil,2023-04-18,255,2023
Brazil,2023-04-19,255,2023
Brazil,2023-04-20,255,2023
Brazil,2023-04-21,255,2023
Brazil,2023-04-22,255,2023
Brazil,2023-04-23,404,2023
Brazil,2023-04-24,404,2023
Brazil,2023-04-25,404,2023
Brazil,2023-04-26,404,2023
Brazil,2023-04-27,404,2023
Brazil,2023-04-28,404,2023
Brazil,2023-04-29,404,2023
Brazil,2023-04-30,279,2023
Brazil,2023-05-01,279,2023
Brazil,2023-05-02,279,2023
