Entity,Day,Weekly deaths,Year
Brazil,2024-09-25,0,2024
Brazil,2024-09-26,0,2024
Brazil,2024-09-27,0,2024
Brazil,2024-09-28,0,2024
Brazil,2024-09-29,0,2024
Brazil,2024-09-30,0,2024
Brazil,2024-10-01,0,2024
Brazil,2024-10-02,0,2024
Brazil,2024-10-03,0,2024
Brazil,2024-10-04,0,2024
Brazil,2024-10-05,0,2024
Brazil,2024-10-06,0,2024
Brazil,2024-10-07,0,2024
Brazil,2024-10-08,0,2024
Brazil,2024-10-09,0,2024
Brazil,2024-10-10,0,2024
Brazil,2024-10-11,0,2024
Brazil,2024-10-12,0,2024
Brazil,2024-10-13,0,2024
Brazil,2024-10-14,0,2024
Brazil,2024-10-15,0,2024
Brazil,2024-10-16,0,2024
Brazil,2024-10-17,0,2024
Brazil,2024-10-18,0,2024
Brazil,2024-10-19,0,2024
Brazil,2024-10-20,0,2024
Brazil,2024-10-21,0,2024
Brazil,2024-10-22,0,2024
Brazil,2024-10-23,0,2024
Brazil,2024-10-24,0,2024
Brazil,2024-10-25,0,2024
Brazil,2024-10-26,0,2024
Brazil,2024-10-27,0,2024
Brazil,2024-10-28,0,2024
Brazil,2024-10-29,0,2024
Brazil,2024-10-30,0,2024
Brazil,2024-10-31,0,2024
Brazil,2024-11-01,0,2024
Brazil,2024-11-02,0,2024
Brazil,2024-11-03,0,2024
Brazil,2024-11-04,0,2024
Brazil,2024-11-05,0,2024
Brazil,2024-11-06,0,2024
Brazil,2024-11-07,0,2024
Brazil,2024-11-08,0,2024
Brazil,2024-11-09,0,2024
Brazil,2024-11-10,0,2024
Brazil,2024-11-11,0,2024
Brazil,2024-11-12,0,2024
Brazil,2024-11-13,0,2024
Brazil,2024-11-14,0,2024
Brazil,2024-11-15,0,2024
Brazil,2024-11-16,0,2024
Brazil,2024-11-17,0,2024
Brazil,2024-11-18,0,2024
Brazil,2024-11-19,0,2024
Brazil,2024-11-20,0,2024
Brazil,2024-11-21,0,2024
Brazil,2024-11-22,0,2024
Brazil,2024-11-23,0,2024
Brazil,2024-11-24,0,2024
Brazil,2024-11-25,0,2024
Brazil,2024-11-26,0,2024
Brazil,2024-11-27,0,2024
Brazil,2024-11-28,0,2024
Brazil,2024-11-29,0,2024
Brazil,2024-11-30,0,2024
Brazil,2024-12-01,0,2024
Brazil,2024-12-02,0,2024
Brazil,2024-12-03,0,2024
Brazil,2024-12-04,0,2024
Brazil,2024-12-05,0,2024
Brazil,2024-12-06,0,2024
Brazil,2024-12-07,0,2024
Brazil,2024-12-08,0,2024
Brazil,2024-12-09,0,2024
Brazil,2024-12-10,0,2024
Brazil,2024-12-11,0,2024
Brazil,2024-12-12,0,2024
Brazil,2024-12-13,0,2024
Brazil,2024-12-14,0,2024
Brazil,2024-12-15,0,2024
Brazil,2024-12-16,0,2024
Brazil,2024-12-17,0,2024
Brazil,2024-12-18,0,2024
Brazil,2024-12-19,0,2024
Brazil,2024-12-20,0,2024
Brazil,2024-12-21,0,2024
Brazil,2024-12-22,0,2024
Brazil,2024-12-23,0,2024
Brazil,2024-12-24,0,2024
Brazil,2024-12-25,0,2024
Brazil,2024-12-26,0,2024
Brazil,2024-12-27,0,2024
Brazil,2024-12-28,0,2024
Brazil,2024-12-29,0,2024
Brazil,2024-12-30,0,2024
Brazil,2024-12-31,75,2024
Canada,2023-01-01,350,2023
Canada,2023-01-02,350,2023
Canada,2023-01-03,350,2023
Canada,2023-01-04,350,2023
Canada,2023-01-05,350,2023
Canada,2023-01-06,350,2023
Canada,2023-01-07,258,2023
Canada,2023-01-08,258,2023
Canada,2023-01-09,258,2023
Canada,2023-01-10,258,2023
Canada,2023-01-11,258,2023
Canada,2023-01-12,258,2023
Canada,2023-01-13,258,2023
Canada,2023-01-14,332,2023
Canada,2023-01-15,332,2023
Canada,2023-01-16,332,2023
Canada,2023-01-17,332,2023
Canada,2023-01-18,332,2023
Canada,2023-01-19,332,2023
Canada,2023-01-20,332,2023
Canada,2023-01-21,302,2023
Canada,2023-01-22,302,2023
Canada,2023-01-23,302,2023
Canada,2023-01-24,302,2023
Canada,2023-01-25,302,2023
Canada,2023-01-26,302,2023
Canada,2023-01-27,302,2023
Canada,2023-01-28,278,2023
Canada,2023-01-29,278,2023
Canada,2023-01-30,278,2023
Canada,2023-01-31,278,2023
Canada,2023-02-01,278,2023
Canada,2023-02-02,278,2023
Canada,2023-02-03,278,2023
Canada,2023-02-04,252,2023
Canada,2023-02-05,252,2023
Canada,2023-02-06,252,2023
Canada,2023-02-07,252,2023
Canada,2023-02-08,252,2023
Canada,2023-02-09,252,2023
Canada,2023-02-10,252,2023
Canada,2023-02-11,226,2023
Canada,2023-02-12,226,2023
Canada,2023-02-13,226,2023
Canada,2023-02-14,226,2023
Canada,2023-02-15,226,2023
Canada,2023-02-16,226,2023
Canada,2023-02-17,226,2023
Canada,2023-02-18,212,2023
Canada,2023-02-19,212,2023
Canada,2023-02-20,212,2023
Canada,2023-02-21,212,2023
Canada,2023-02-22,212,2023
Canada,2023-02-23,212,2023
Canada,2023-02-24,212,2023
Canada,2023-02-25,168,2023
Canada,2023-02-26,168,2023
Canada,2023-02-27,168,2023
Canada,2023-02-28,168,2023
Canada,2023-03-01,168,2023
Canada,2023-03-02,168,2023
Canada,2023-03-03,168,2023
Canada,2023-03-04,165,2023
Canada,2023-03-05,165,2023
Canada,2023-03-06,165,2023
Canada,2023-03-07,165,2023
Canada,2023-03-08,165,2023
Canada,2023-03-09,165,2023
Canada,2023-03-10,165,2023
Canada,2023-03-11,161,2023
Canada,2023-03-12,161,2023
Canada,2023-03-13,161,2023
Canada,2023-03-14,161,2023
Canada,2023-03-15,161,2023
Canada,2023-03-16,161,2023
Canada,2023-03-17,161,2023
Canada,2023-03-18,181,2023
Canada,2023-03-19,181,2023
Canada,2023-03-20,181,2023
Canada,2023-03-21,181,2023
Canada,2023-03-22,181,2023
Canada,2023-03-23,181,2023
Canada,2023-03-24,181,2023
Canada,2023-03-25,151,2023
Canada,2023-03-26,151,2023
Canada,2023-03-27,151,2023
Canada,2023-03-28,151,2023
Canada,2023-03-29,151,2023
Canada,2023-03-30,151,2023
Canada,2023-03-31,151,2023
Canada,2023-04-01,131,2023
Canada,2023-04-02,131,2023
Canada,2023-04-03,131,2023
