Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Alberta,1093,688,62.3,59.0,65.6,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Saskatchewan,902,630,69.0,65.4,72.6,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Manitoba,982,608,60.6,57.2,63.9,Wald,C,significantly lower
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Ontario,1976,1318,66.5,64.1,68.9,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Quebec,1703,1204,70.2,67.7,72.7,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,New Brunswick,879,618,68.1,64.4,71.8,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nova Scotia,966,693,70.3,66.8,73.7,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Prince Edward Island,825,619,74.1,70.5,77.7,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Newfoundland And Labrador,841,638,74.9,71.4,78.3,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Yukon (Whitehorse),419,261,62.7,57.3,68.1,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Northwest Territories (Yellowknife),366,246,68.4,62.5,74.3,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nunavut (Iqaluit),233,150,65.6,57.7,73.4,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Canada,7056,4550,62.3,60.5,64.0,Wald,C,
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,British Columbia,640,383,58.0,53.8,62.1,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Alberta,597,339,54.8,50.4,59.2,Wald,C,significantly lower
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Saskatchewan,534,348,63.5,58.7,68.3,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Manitoba,555,318,54.7,49.9,59.6,Wald,C,significantly lower
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Ontario,1102,690,61.8,58.5,65.1,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Quebec,964,667,69.2,66.1,72.4,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,New Brunswick,514,342,64.9,60.0,69.8,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nova Scotia,594,393,62.6,58.3,66.9,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Prince Edward Island,506,366,71.1,66.6,75.7,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Newfoundland And Labrador,473,355,73.5,68.7,78.4,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Yukon (Whitehorse),254,137,51.5,44.5,58.6,Wald,C,significantly lower
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Northwest Territories (Yellowknife),196,130,68.2,60.7,75.7,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nunavut (Iqaluit),127,82,66.8,55.2,78.4,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Canada,5250,3855,71.0,69.0,72.9,Wald,C,
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,British Columbia,504,357,67.5,62.2,72.8,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Alberta,494,349,70.1,65.1,75.1,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Saskatchewan,365,282,74.8,69.4,80.3,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Manitoba,423,290,67.7,62.6,72.8,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Ontario,870,625,71.3,67.7,74.9,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Quebec,735,535,71.4,67.5,75.3,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,New Brunswick,365,276,71.4,65.8,77.0,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nova Scotia,371,299,78.4,73.1,83.8,Wald,C,significantly higher
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Prince Edward Island,318,252,77.2,71.6,82.7,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Newfoundland And Labrador,367,283,76.5,71.5,81.5,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Yukon (Whitehorse),162,123,74.8,66.8,82.8,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Northwest Territories (Yellowknife),170,116,68.6,59.8,77.5,Wald,C,not significantly different
2020 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nunavut (Iqaluit),106,68,64.1,54.5,73.7,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Canada,6589,4079,58.1,56.3,59.9,Wald,C,
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,British Columbia,577,349,57.1,52.5,61.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Alberta,556,294,51.4,46.5,56.3,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Saskatchewan,471,273,59.1,53.9,64.3,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Manitoba,503,303,59.3,54.4,64.3,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Ontario,1006,581,56.3,52.8,59.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Quebec,918,587,62.2,58.8,65.7,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,New Brunswick,467,291,59.6,54.1,65.2,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nova Scotia,491,343,69.5,64.8,74.1,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Prince Edward Island,364,258,72.8,67.7,78.0,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Newfoundland And Labrador,386,266,67.0,61.5,72.4,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Yukon (Whitehorse),355,226,64.3,58.1,70.5,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Northwest Territories (Yellowknife),346,211,61.3,54.9,67.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nunavut (Iqaluit),149,97,64.8,56.0,73.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Canada,3753,2189,55.3,53.0,57.6,Wald,C,
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,British Columbia,321,184,53.6,47.3,59.9,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Alberta,312,158,50.4,44.3,56.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Saskatchewan,283,148,52.5,45.4,59.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Manitoba,281,152,50.9,44.6,57.2,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Ontario,553,302,53.3,48.7,57.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Quebec,522,319,61.2,56.7,65.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,New Brunswick,279,165,57.5,50.5,64.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nova Scotia,286,194,65.4,58.7,72.0,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Prince Edward Island,225,148,65.4,58.2,72.6,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Newfoundland And Labrador,230,149,64.9,58.2,71.6,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Yukon (Whitehorse),202,125,64.8,57.4,72.1,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Northwest Territories (Yellowknife),178,95,51.6,42.5,60.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nunavut (Iqaluit),81,50,67.1,56.3,77.8,Wald,A,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Canada,2826,1887,61.1,58.2,63.9,Wald,C,
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,British Columbia,255,165,61.1,54.0,68.1,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Alberta,242,135,52.3,44.8,59.9,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Saskatchewan,188,125,65.7,58.0,73.4,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Manitoba,222,151,67.9,60.7,75.1,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Ontario,450,279,59.9,54.5,65.3,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Quebec,396,268,63.3,57.9,68.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,New Brunswick,187,125,61.6,53.2,69.9,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nova Scotia,205,149,73.8,66.9,80.7,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Prince Edward Island,139,110,80.6,73.1,88.1,Wald,C,significantly higher
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Newfoundland And Labrador,156,117,69.1,60.3,77.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Yukon (Whitehorse),151,100,63.8,54.0,73.6,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Northwest Territories (Yellowknife),167,116,71.0,62.1,79.8,Wald,C,not significantly different
2021 SCMH,Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nunavut (Iqaluit),68,47,62.6,48.8,76.3,Wald,A,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Canada,18921,12494,62.3,61.1,63.4,Wald,C,
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,British Columbia,1724,1091,59.9,57.0,62.8,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Alberta,1649,982,56.9,53.9,59.8,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Saskatchewan,1373,903,64.1,60.9,67.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Manitoba,1485,911,59.9,57.0,62.9,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Ontario,2982,1899,61.4,59.3,63.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Quebec,2621,1791,66.3,64.1,68.4,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,New Brunswick,1346,909,63.8,60.4,67.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nova Scotia,1457,1036,69.9,67.0,72.8,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Prince Edward Island,1189,877,73.5,70.3,76.7,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Newfoundland And Labrador,1227,904,70.9,67.6,74.2,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Yukon (Whitehorse),774,487,63.5,59.4,67.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Northwest Territories (Yellowknife),712,457,64.7,60.4,69.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,all adults,Nunavut (Iqaluit),382,247,65.2,59.3,71.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Canada,10809,6739,58.8,57.4,60.2,Wald,C,
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,British Columbia,961,567,55.7,52.0,59.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Alberta,909,497,52.6,48.9,56.4,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Saskatchewan,817,496,58.0,53.7,62.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Manitoba,836,470,52.8,48.9,56.7,Wald,C,significantly lower
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Ontario,1655,992,57.6,54.8,60.4,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Quebec,1486,986,65.2,62.5,67.9,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,New Brunswick,793,507,61.2,56.9,65.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nova Scotia,880,587,64.0,60.0,67.9,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Prince Edward Island,731,514,68.2,63.9,72.6,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Newfoundland And Labrador,703,504,69.2,65.0,73.4,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Yukon (Whitehorse),456,262,58.3,53.3,63.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Northwest Territories (Yellowknife),374,225,59.8,53.8,65.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,females,Nunavut (Iqaluit),208,132,66.9,58.6,75.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Canada,8076,5742,66.0,64.3,67.7,Wald,C,
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,British Columbia,759,522,64.2,59.7,68.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Alberta,736,484,61.3,56.8,65.9,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Saskatchewan,553,407,70.3,65.6,75.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Manitoba,645,441,67.8,63.3,72.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Ontario,1320,904,65.6,62.4,68.8,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Quebec,1131,803,67.4,64.1,70.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,New Brunswick,552,401,66.4,61.3,71.5,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nova Scotia,576,448,76.1,71.7,80.5,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Prince Edward Island,457,362,78.9,74.2,83.6,Wald,C,significantly higher
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Newfoundland And Labrador,523,400,72.8,67.7,77.8,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Yukon (Whitehorse),313,223,69.1,62.7,75.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Northwest Territories (Yellowknife),337,232,69.8,63.5,76.1,Wald,C,not significantly different
2020 and 2021 SCMH (combined),Stable or improved mental health,Percentage (%) of population aged 18 years and older who reported stable or improved mental health,males,Nunavut (Iqaluit),174,115,63.3,55.0,71.6,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Canada,12113,1528,13.1,12.2,14.1,Wald,C,
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,British Columbia,1122,147,14.5,12.0,17.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Alberta,1072,154,16.1,13.3,18.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Saskatchewan,883,103,11.6,8.9,14.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Manitoba,964,146,16.3,13.5,19.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Ontario,1941,254,13.7,11.9,15.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Quebec,1677,148,9.0,7.5,10.6,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,New Brunswick,865,133,18.0,14.8,21.1,Wald,C,significantly higher
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Nova Scotia,943,137,17.2,13.7,20.7,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Prince Edward Island,812,94,12.2,9.5,15.0,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Newfoundland And Labrador,835,86,10.6,8.1,13.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Yukon (Whitehorse),413,52,13.7,9.9,17.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Northwest Territories (Yellowknife),356,43,15.0,10.2,19.8,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,all adults,Nunavut (Iqaluit),230,31,17.4,10.1,24.7,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Canada,6931,1028,16.2,14.8,17.6,Wald,C,
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,British Columbia,628,87,14.9,11.7,18.1,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Alberta,583,102,20.7,16.7,24.6,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Saskatchewan,521,72,13.2,10.0,16.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Manitoba,546,92,18.2,14.2,22.3,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Ontario,1085,176,17.9,15.2,20.7,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Quebec,948,103,11.6,9.2,13.9,Wald,C,significantly lower
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,New Brunswick,507,83,18.3,14.1,22.4,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Nova Scotia,581,99,19.1,15.4,22.9,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Prince Edward Island,497,67,14.0,10.5,17.6,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Newfoundland And Labrador,469,57,12.1,8.6,15.5,Wald,C,not significantly different
2020 SCMH,Moderate to severe symptoms of generalized anxiety disorder,Percentage (%) of population aged 18 years and older who showed moderate to severe symptoms of generalized anxiety disorder,females,Yukon (Whitehorse),251,41,19.3,13.4,25.2,Wald,C,not significantly different
