Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Saskatchewan,365,217,57.9,51.7,64.1,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Manitoba,423,263,60.3,54.9,65.7,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Ontario,870,555,64.0,60.3,67.6,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Quebec,735,541,72.6,68.9,76.3,Wald,C,significantly higher
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,New Brunswick,365,214,53.2,47.4,59.0,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nova Scotia,371,246,66.6,60.4,72.7,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Prince Edward Island,317,201,62.7,56.1,69.3,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Newfoundland And Labrador,368,253,66.8,61.6,72.1,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Yukon (Whitehorse),162,97,61.3,52.5,70.1,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Northwest Territories (Yellowknife),170,99,52.7,43.6,61.8,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nunavut (Iqaluit),106,65,59.8,48.9,70.6,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Canada,6590,3476,51.5,49.7,53.3,Wald,C,
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,British Columbia,576,298,48.2,43.5,52.8,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Alberta,556,254,44.7,39.7,49.6,Wald,C,significantly lower
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Saskatchewan,470,224,50.0,44.6,55.3,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Manitoba,503,263,51.8,46.7,56.8,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Ontario,1007,504,47.8,44.3,51.4,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Quebec,919,599,63.6,60.0,67.1,Wald,C,significantly higher
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,New Brunswick,467,223,46.4,41.1,51.7,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nova Scotia,491,254,50.0,44.6,55.4,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Prince Edward Island,364,200,54.9,49.1,60.7,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Newfoundland And Labrador,387,231,57.7,51.9,63.6,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Yukon (Whitehorse),355,175,46.9,40.8,53.0,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Northwest Territories (Yellowknife),346,180,49.5,43.0,56.1,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nunavut (Iqaluit),149,71,44.1,34.5,53.7,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Canada,3753,1844,49.3,46.9,51.6,Wald,C,
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,British Columbia,320,150,43.6,37.4,49.9,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Alberta,312,132,42.3,36.4,48.1,Wald,C,not significantly different
