Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2020-07-14,8866.498
Brazil,2020-07-15,8962.958
Brazil,2020-07-16,9161.986
Brazil,2020-07-17,9351.824
Brazil,2020-07-18,9567.714
Brazil,2020-07-19,9730.225
Brazil,2020-07-20,9865.893
Brazil,2020-07-21,9977.772
Brazil,2020-07-22,10074.094
Brazil,2020-07-23,10269.086
Brazil,2020-07-24,10591.758
Brazil,2020-07-25,10876.87
Brazil,2020-07-26,11142.63
Brazil,2020-07-27,11385.833
Brazil,2020-07-28,11502.7
Brazil,2020-07-29,11613.415
Brazil,2020-07-30,11807.494
Brazil,2020-07-31,12135.938
Brazil,2020-08-01,12410.951
Brazil,2020-08-02,12660.031
Brazil,2020-08-03,12875.868
Brazil,2020-08-04,12998.547
Brazil,2020-08-05,13077.674
Brazil,2020-08-06,13323.045
Brazil,2020-08-07,13594.801
Brazil,2020-08-08,13847.475
Brazil,2020-08-09,14086.316
Brazil,2020-08-10,14323.923
Brazil,2020-08-11,14433.334
Brazil,2020-08-12,14538.172
Brazil,2020-08-13,14786.191
Brazil,2020-08-14,15048.451
Brazil,2020-08-15,15334.183
Brazil,2020-08-16,15574.993
Brazil,2020-08-17,15772.686
Brazil,2020-08-18,15882.53
Brazil,2020-08-19,15974.647
Brazil,2020-08-20,16201.859
Brazil,2020-08-21,16436.27
Brazil,2020-08-22,16651.78
Brazil,2020-08-23,16796.115
Brazil,2020-08-24,17034.018
Brazil,2020-08-25,17145.383
Brazil,2020-08-26,17226.588
Brazil,2020-08-27,17450.709
Brazil,2020-08-28,17674.957
Brazil,2020-08-29,17885.293
Brazil,2020-08-30,18091.717
Brazil,2020-08-31,18288.334
Brazil,2020-09-01,18365.166
Brazil,2020-09-02,18583.709
Brazil,2020-09-03,18786.55
Brazil,2020-09-04,19009.72
Brazil,2020-09-05,19217.86
Brazil,2020-09-06,19461.285
Brazil,2020-09-07,19604.732
Brazil,2020-09-08,19673.78
Brazil,2020-09-09,19722.627
Brazil,2020-09-10,19790.523
Brazil,2020-09-11,19960.828
Brazil,2020-09-12,20153.676
Brazil,2020-09-13,20361.553
Brazil,2020-09-14,20520.953
Brazil,2020-09-15,20591.176
Brazil,2020-09-16,20663.236
Brazil,2020-09-17,20837.52
Brazil,2020-09-18,21012.598
Brazil,2020-09-19,21185.219
Brazil,2020-09-20,21374.451
Brazil,2020-09-21,21531.637
Brazil,2020-09-22,21609.564
Brazil,2020-09-23,21673.467
Brazil,2020-09-24,21832.93
Brazil,2020-09-25,21991.18
Brazil,2020-09-26,22147.225
Brazil,2020-09-27,22298.959
Brazil,2020-09-28,22433.896
Brazil,2020-09-29,22501.979
Brazil,2020-09-30,22564.53
Brazil,2020-10-01,22716.965
Brazil,2020-10-02,22875.842
Brazil,2020-10-03,23047.768
Brazil,2020-10-04,23206.73
Brazil,2020-10-05,23331.834
Brazil,2020-10-06,23372.041
Brazil,2020-10-07,23428.844
Brazil,2020-10-08,23628.105
Brazil,2020-10-09,23778.14
Brazil,2020-10-10,23910.09
Brazil,2020-10-11,24040.586
Brazil,2020-10-12,24167.775
Brazil,2020-10-13,24226.463
Brazil,2020-10-14,24266.541
Brazil,2020-10-15,24315.137
Brazil,2020-10-16,24444.639
Brazil,2020-10-17,24580.266
Brazil,2020-10-18,24727.26
Brazil,2020-10-19,24841.674
Brazil,2020-10-20,24893.893
Brazil,2020-10-21,24967.04
Brazil,2020-10-22,25077.482
Brazil,2020-10-23,25195.492
Brazil,2020-10-24,25313.69
Brazil,2020-10-25,25456.463
Brazil,2020-10-26,25584.748
Brazil,2020-10-27,25648.906
Brazil,2020-10-28,25723.682
Brazil,2020-10-29,25865.318
Brazil,2020-10-30,26001.45
Brazil,2020-10-31,26125.582
Brazil,2020-11-01,26231.531
Brazil,2020-11-02,26321.625
Brazil,2020-11-03,26369.65
Brazil,2020-11-04,26410.072
Brazil,2020-11-05,26466.385
Brazil,2020-11-06,26580.39
Brazil,2020-11-07,26686.396
Brazil,2020-11-08,26776.086
Brazil,2020-11-09,26882.502
Brazil,2020-11-10,26932.686
Brazil,2020-11-11,26984.596
Brazil,2020-11-12,27103.527
Brazil,2020-11-13,27333.34
Brazil,2020-11-14,27491.238
Brazil,2020-11-15,27629.465
Brazil,2020-11-16,27811.613
Brazil,2020-11-17,27878.82
Brazil,2020-11-18,27942.398
Brazil,2020-11-19,28110.22
Brazil,2020-11-20,28272.322
Brazil,2020-11-21,28443.111
Brazil,2020-11-22,28625.688
Brazil,2020-11-23,28780.803
Brazil,2020-11-24,28869.318
Brazil,2020-11-25,28946.38
Brazil,2020-11-26,29094.26
Brazil,2020-11-27,29322.014
Brazil,2020-11-28,29500.867
Brazil,2020-11-29,29663.154
Brazil,2020-11-30,29910.043
Brazil,2020-12-01,30026.387
Brazil,2020-12-02,30126.896
Brazil,2020-12-03,30368.967
Brazil,2020-12-04,30606.064
Brazil,2020-12-05,30845.877
Brazil,2020-12-06,31068.809
Brazil,2020-12-07,31274.266
Brazil,2020-12-08,31399.621
Brazil,2020-12-09,31496.484
Brazil,2020-12-10,31739.406
Brazil,2020-12-11,31993.574
Brazil,2020-12-12,32247.236
