week of collection,variant,variant_aggregated,parent,proportions,conf.high,conf.low
2025-04-20,XEC.2,XEC.2*,XEC,1.546391753,NA,NA
2025-04-20,XEC.9,XEC.9,XEC,2.319587629,NA,NA
2025-04-20,JN.1,JN.1*,JN.1,6.701030928,NA,NA
2025-04-20,KP.3,KP.3*,KP.3,2.319587629,NA,NA
2025-05-04,LP.8.1.1,LP.8.1.1*,LP.8.1,38.58836752,42.91812591,33.85734803
2025-05-04,Other,Other,Other,15.27155279,19.33700726,11.63703536
2025-05-04,KP.3.1.1,KP.3.1.1*,KP.3,6.675080654,8.308183639,5.122778992
2025-05-04,LF.7.7.2,LF.7.7.2,JN.1,2.08058521,3.355693605,1.25667863
2025-05-04,LP.8.1,LP.8.1*,LP.8.1,11.34085375,14.48836737,8.5293792
2025-05-04,MC.1,MC.1*,KP.3,0.5630434487,1.079743459,0.2985794472
2025-05-04,MC.1.2,MC.1.2,KP.3,0.412187998,0.8766368744,0.1853830809
2025-05-04,NP.1,NP.1,KP.3,1.358855912,2.166670567,0.811465107
2025-05-04,XEC,XEC*,XEC,12.46590658,15.00364207,10.30051963
2025-05-04,XEC.2,XEC.2*,XEC,1.123807525,1.847318344,0.713318491
2025-05-04,XEC.9,XEC.9,XEC,1.400584241,2.408132754,0.7965942847
2025-05-04,JN.1,JN.1*,JN.1,6.826208412,9.034359779,5.09776665
2025-05-04,KP.3,KP.3*,KP.3,1.892965959,3.140565236,1.041475674
